,match_id,date,batter,batter_runs,balls_faced,wicket_type,won,innings,wickets_fallen,bowling_team,batting_team,venue,toss_winner,runs_remain,net_run_rate,final_team_total,first_ball,current_team_total,is_powerplay,strike_rate,out,last_ball,Left arm Fast,Left arm Orthodox,Left arm Wrist spin,Right arm Fast,Right arm Legbreak,Right arm Offbreak,recent_form
4473,South Africa_Pakistan_2013-03-03,2013-03-03,Mohammad Hafeez,86,51,hit wicket,1.0,1,1,South Africa,Pakistan,SuperSport Park,1,-1.0,4.75,195,22,29,True,168.63,True,99,25.0,12.0,0.0,78.0,0.0,43.0,0.0
5597,Australia_Sri Lanka_2013-01-26,2013-01-26,LD Chandimal,5,6,caught,1.0,2,2,Australia,Sri Lanka,Stadium Australia,0,76.0,0.5305309734513282,139,46,54,False,83.33,True,55,12.0,18.0,0.0,78.0,0.0,36.0,0.0
10031,Australia_England_2014-01-29,2014-01-29,RS Bopara,65,27,0,0.0,2,5,Australia,England,Bellerive Oval,0,13.0,-0.6500000000000004,200,68,98,False,240.74,False,120,0.0,10.0,,78.0,19.0,0.0,0.0
9445,Sri Lanka_West Indies_2015-11-11,2015-11-11,DJG Sammy,12,7,0,1.0,1,6,Sri Lanka,West Indies,R. Premadasa Stadium,1,-1.0,1.1499999999999997,162,111,148,False,171.43,False,120,0.0,0.0,,20.0,0.0,0.0,3.0
851,New Zealand_South Africa_2012-02-22,2012-02-22,TG Southee,0,1,0,0.0,2,7,South Africa,New Zealand,Eden Park,1,3.0,-0.1500000000000003,162,119,162,False,0.0,False,120,0.0,0.0,0.0,2.0,0.0,0.0,0.0
5362,India_West Indies_2022-08-06,2022-08-06,AR Patel,20,8,0,1.0,1,5,West Indies,India,Central Broward Regional Park Stadium,0,-1.0,2.950000000000001,191,109,165,False,250.0,False,120,17.0,0.0,,0.0,0.0,6.0,17.0
4396,West Indies_Pakistan_2017-04-02,2017-04-02,Kamran Akmal,20,21,caught,1.0,2,0,West Indies,Pakistan,Queen's Park Oval,1,84.0,0.4842105263157892,127,1,0,True,95.24,True,38,48.0,18.0,0.0,73.0,42.0,42.0,23.33333333333333
2861,Sri Lanka_India_2023-01-05,2023-01-05,HH Pandya,12,12,caught,0.0,2,3,Sri Lanka,India,Maharashtra Cricket Association Stadium,1,172.0,-0.8000000000000007,190,13,22,True,100.0,True,28,28.0,24.0,0.0,109.0,43.0,24.0,29.0
1808,Australia_England_2020-09-06,2020-09-06,EJG Morgan,7,6,caught,1.0,2,3,Australia,England,The Rose Bowl,0,22.0,0.5393805309734514,158,93,123,False,116.67,True,102,0.0,10.0,0.0,31.0,11.0,0.0,27.0
8665,Australia_England_2011-01-12,2011-01-12,IR Bell,27,17,caught,1.0,2,0,Australia,England,Adelaide Oval,0,108.0,0.0500000000000007,158,1,0,True,158.82,True,27,25.0,36.0,0.0,147.0,0.0,36.0,0.0
1183,South Africa_Australia_2016-03-06,2016-03-06,F Behardien,3,5,caught,0.0,1,4,Australia,South Africa,New Wanderers Stadium,0,-1.0,-0.0500000000000007,204,91,143,False,60.0,True,100,13.0,0.0,0.0,53.0,0.0,0.0,0.0
8272,England_Australia_2005-06-13,2005-06-13,ME Trescothick,41,37,caught,1.0,1,0,Australia,England,The Rose Bowl,1,-1.0,4.999999999999999,179,1,0,True,110.81,True,79,0.0,18.0,,197.0,0.0,0.0,0.0
3500,West Indies_Australia_2021-07-09,2021-07-09,N Pooran,17,16,run out,1.0,1,3,Australia,West Indies,Daren Sammy National Cricket Stadium,0,-1.0,0.9000000000000004,145,46,36,False,106.25,True,71,36.0,15.0,0.0,51.0,31.0,0.0,17.75
5730,India_West Indies_2014-03-23,2014-03-23,D Ramdin,0,0,0,0.0,1,7,India,West Indies,Shere Bangla National Stadium,0,-1.0,-0.1601694915254228,129,118,122,False,0.0,False,120,0.0,0.0,0.0,0.0,0.0,0.0,33.0
7847,Pakistan_New Zealand_2022-10-11,2022-10-11,FH Allen,62,42,stumped,1.0,2,0,Pakistan,New Zealand,Hagley Oval,0,13.0,1.6030927835051545,131,1,0,True,147.62,True,81,0.0,50.0,0.0,92.0,49.0,39.0,13.0
4213,England_Australia_2018-02-07,2018-02-07,AT Carey,5,5,0,1.0,2,5,England,Australia,Bellerive Oval,1,-6.0,0.9527027027027036,161,96,128,False,100.0,False,111,1.0,0.0,0.0,39.0,0.0,1.0,0.0
10201,New Zealand_England_2013-02-12,2013-02-12,MJ Lumb,17,23,bowled,0.0,2,0,New Zealand,England,Seddon Park,1,149.0,-2.75,137,1,0,True,73.91,True,55,71.0,12.0,,128.0,0.0,31.0,22.0
7728,South Africa_Australia_2023-09-01,2023-09-01,T Stubbs,27,20,bowled,0.0,1,4,Australia,South Africa,Kingsmead,0,-1.0,-3.125842696629213,164,35,46,False,135.0,True,74,12.0,12.0,24.0,73.0,24.0,0.0,0.0
5449,South Africa_England_2020-02-16,2020-02-16,H Klaasen,66,33,caught,0.0,1,2,England,South Africa,SuperSport Park,1,-1.0,-0.6913043478260867,222,50,87,False,200.0,True,99,0.0,5.0,13.0,112.0,18.0,0.0,0.0
4881,India_Australia_2017-10-10,2017-10-10,KM Jadhav,27,27,bowled,0.0,1,3,Australia,India,Barsapara Cricket Stadium,0,-1.0,-1.970967741935484,118,15,16,True,100.0,True,67,16.0,0.0,24.0,104.0,47.0,,0.0
5803,Sri Lanka_England_2021-06-23,2021-06-23,DM de Silva,3,4,caught,0.0,1,3,England,Sri Lanka,Sophia Gardens,1,-1.0,-1.1228155339805816,129,48,50,False,75.0,True,51,19.0,0.0,0.0,44.0,48.0,19.0,0.0
7516,Sri Lanka_India_2023-01-05,2023-01-05,C Karunaratne,11,10,0,1.0,1,6,India,Sri Lanka,Maharashtra Cricket Association Stadium,0,-1.0,0.8000000000000007,206,97,139,False,110.0,False,120,14.0,0.0,0.0,34.0,0.0,5.0,23.0
6917,Pakistan_Afghanistan_2023-03-26,2023-03-26,Ibrahim Zadran,38,40,caught,1.0,2,1,Pakistan,Afghanistan,Sharjah Cricket Stadium,0,28.0,0.2058823529411766,133,25,31,True,95.0,True,104,12.0,30.0,0.0,90.0,49.0,12.0,9.0
9133,New Zealand_West Indies_2006-02-16,2006-02-16,S Chanderpaul,26,27,caught,-1.0,1,4,New Zealand,West Indies,Eden Park,0,-1.0,0.0,126,59,53,False,96.3,True,112,12.0,0.0,,63.0,0.0,48.0,0.0
6685,West Indies_Pakistan_2021-12-16,2021-12-16,BA King,43,21,bowled,0.0,1,0,Pakistan,West Indies,National Stadium,1,-1.0,-0.694247787610621,207,1,0,True,204.76,True,36,26.0,42.0,0.0,133.0,41.0,6.0,34.0
