,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,extra_type,over,wicket_type,toss_decision,toss_winner,innings,venue,date,winning_team,batting_team,bowling_team
57,HM Amla,AG Cremer,RE Levi,1,0,1,74,25,28,1,-,10,0,field,South Africa,2,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2012-09-20,South Africa,South Africa,Zimbabwe
58,RE Levi,AG Cremer,HM Amla,0,0,0,74,38,31,2,-,10,0,field,South Africa,2,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2012-09-20,South Africa,South Africa,Zimbabwe
59,RE Levi,AG Cremer,HM Amla,1,0,1,75,39,32,3,-,10,0,field,South Africa,2,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2012-09-20,South Africa,South Africa,Zimbabwe
60,HM Amla,AG Cremer,RE Levi,1,0,1,76,26,29,4,-,10,0,field,South Africa,2,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2012-09-20,South Africa,South Africa,Zimbabwe
61,RE Levi,AG Cremer,HM Amla,2,0,2,78,41,33,5,-,10,0,field,South Africa,2,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2012-09-20,South Africa,South Africa,Zimbabwe
62,RE Levi,AG Cremer,HM Amla,1,0,1,79,42,34,6,-,10,0,field,South Africa,2,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2012-09-20,South Africa,South Africa,Zimbabwe
63,RE Levi,RW Price,HM Amla,0,0,0,79,42,35,1,-,11,0,field,South Africa,2,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2012-09-20,South Africa,South Africa,Zimbabwe
64,RE Levi,RW Price,HM Amla,0,0,0,79,42,36,2,-,11,0,field,South Africa,2,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2012-09-20,South Africa,South Africa,Zimbabwe
65,RE Levi,RW Price,HM Amla,4,0,4,83,46,37,3,-,11,0,field,South Africa,2,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2012-09-20,South Africa,South Africa,Zimbabwe
66,RE Levi,RW Price,HM Amla,0,1,1,84,46,38,4,wides,11,0,field,South Africa,2,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2012-09-20,South Africa,South Africa,Zimbabwe
67,RE Levi,RW Price,HM Amla,1,0,1,85,47,39,5,-,11,0,field,South Africa,2,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2012-09-20,South Africa,South Africa,Zimbabwe
68,HM Amla,RW Price,RE Levi,2,0,2,87,28,30,6,-,11,0,field,South Africa,2,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2012-09-20,South Africa,South Africa,Zimbabwe
69,HM Amla,RW Price,RE Levi,1,0,1,88,29,31,7,-,11,0,field,South Africa,2,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2012-09-20,South Africa,South Africa,Zimbabwe
70,HM Amla,KM Jarvis,RE Levi,1,0,1,89,30,32,1,-,12,0,field,South Africa,2,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2012-09-20,South Africa,South Africa,Zimbabwe
71,RE Levi,KM Jarvis,HM Amla,0,0,0,89,47,40,2,-,12,0,field,South Africa,2,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2012-09-20,South Africa,South Africa,Zimbabwe
72,RE Levi,KM Jarvis,HM Amla,2,0,2,91,49,41,3,-,12,0,field,South Africa,2,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2012-09-20,South Africa,South Africa,Zimbabwe
73,RE Levi,KM Jarvis,HM Amla,0,0,0,91,49,42,4,-,12,0,field,South Africa,2,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2012-09-20,South Africa,South Africa,Zimbabwe
74,RE Levi,KM Jarvis,HM Amla,0,0,0,91,49,43,5,-,12,0,field,South Africa,2,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2012-09-20,South Africa,South Africa,Zimbabwe
75,RE Levi,KM Jarvis,HM Amla,0,0,0,91,49,44,6,-,12,0,field,South Africa,2,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2012-09-20,South Africa,South Africa,Zimbabwe
76,HM Amla,S Matsikenyeri,RE Levi,1,0,1,92,31,33,1,-,13,0,field,South Africa,2,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2012-09-20,South Africa,South Africa,Zimbabwe
77,RE Levi,S Matsikenyeri,HM Amla,1,0,1,93,50,45,2,-,13,0,field,South Africa,2,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2012-09-20,South Africa,South Africa,Zimbabwe
78,HM Amla,S Matsikenyeri,RE Levi,0,0,0,93,31,34,3,-,13,0,field,South Africa,2,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2012-09-20,South Africa,South Africa,Zimbabwe
79,HM Amla,S Matsikenyeri,RE Levi,1,0,1,94,32,35,4,-,13,0,field,South Africa,2,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2012-09-20,South Africa,South Africa,Zimbabwe
