,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,wicket_type,player_out,fielder,extra_type,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team
78,KIC Asalanka,MR Marsh,P Nissanka,6,0,6,88,-9,10,5,2,4,13,0,,,-,,field,Australia,1,Perth Stadium,2022,10,Sri Lanka_Australia_2022-10-25,Australia,Sri Lanka,Australia
79,KIC Asalanka,MR Marsh,P Nissanka,0,0,0,88,-9,10,6,2,5,13,0,,,-,,field,Australia,1,Perth Stadium,2022,10,Sri Lanka_Australia_2022-10-25,Australia,Sri Lanka,Australia
80,KIC Asalanka,MR Marsh,P Nissanka,4,0,4,92,-13,14,7,2,6,13,0,,,-,,field,Australia,1,Perth Stadium,2022,10,Sri Lanka_Australia_2022-10-25,Australia,Sri Lanka,Australia
81,P Nissanka,AC Agar,KIC Asalanka,0,1,1,93,-14,36,45,2,1,14,0,,,wides,,field,Australia,1,Perth Stadium,2022,10,Sri Lanka_Australia_2022-10-25,Australia,Sri Lanka,Australia
82,P Nissanka,AC Agar,KIC Asalanka,2,0,2,95,-16,38,46,2,2,14,0,,,-,,field,Australia,1,Perth Stadium,2022,10,Sri Lanka_Australia_2022-10-25,Australia,Sri Lanka,Australia
83,P Nissanka,AC Agar,KIC Asalanka,2,0,2,97,-18,40,47,2,3,14,0,,,-,,field,Australia,1,Perth Stadium,2022,10,Sri Lanka_Australia_2022-10-25,Australia,Sri Lanka,Australia
84,P Nissanka,AC Agar,KIC Asalanka,0,0,0,97,-18,40,48,3,4,14,run out,P Nissanka,MR Marsh;MS Wade,-,,field,Australia,1,Perth Stadium,2022,10,Sri Lanka_Australia_2022-10-25,Australia,Sri Lanka,Australia
85,PBB Rajapaksa,AC Agar,KIC Asalanka,1,0,1,98,-19,1,1,3,5,14,0,,,-,,field,Australia,1,Perth Stadium,2022,10,Sri Lanka_Australia_2022-10-25,Australia,Sri Lanka,Australia
86,KIC Asalanka,AC Agar,PBB Rajapaksa,0,0,0,98,-19,14,8,3,6,14,0,,,-,,field,Australia,1,Perth Stadium,2022,10,Sri Lanka_Australia_2022-10-25,Australia,Sri Lanka,Australia
87,KIC Asalanka,AC Agar,PBB Rajapaksa,1,0,1,99,-20,15,9,3,7,14,0,,,-,,field,Australia,1,Perth Stadium,2022,10,Sri Lanka_Australia_2022-10-25,Australia,Sri Lanka,Australia
88,KIC Asalanka,MA Starc,PBB Rajapaksa,1,0,1,100,-21,16,10,3,1,15,0,,,-,,field,Australia,1,Perth Stadium,2022,10,Sri Lanka_Australia_2022-10-25,Australia,Sri Lanka,Australia
89,PBB Rajapaksa,MA Starc,KIC Asalanka,2,0,2,102,-23,3,2,3,2,15,0,,,-,,field,Australia,1,Perth Stadium,2022,10,Sri Lanka_Australia_2022-10-25,Australia,Sri Lanka,Australia
90,PBB Rajapaksa,MA Starc,KIC Asalanka,0,0,0,102,-23,3,3,3,3,15,0,,,-,,field,Australia,1,Perth Stadium,2022,10,Sri Lanka_Australia_2022-10-25,Australia,Sri Lanka,Australia
91,PBB Rajapaksa,MA Starc,KIC Asalanka,4,0,4,106,-27,7,4,3,4,15,0,,,-,,field,Australia,1,Perth Stadium,2022,10,Sri Lanka_Australia_2022-10-25,Australia,Sri Lanka,Australia
92,PBB Rajapaksa,MA Starc,KIC Asalanka,0,0,0,106,-27,7,5,4,5,15,caught,PBB Rajapaksa,PJ Cummins,-,,field,Australia,1,Perth Stadium,2022,10,Sri Lanka_Australia_2022-10-25,Australia,Sri Lanka,Australia
93,MD Shanaka,MA Starc,KIC Asalanka,0,0,0,106,-27,0,1,4,6,15,0,,,-,,field,Australia,1,Perth Stadium,2022,10,Sri Lanka_Australia_2022-10-25,Australia,Sri Lanka,Australia
94,KIC Asalanka,GJ Maxwell,MD Shanaka,1,0,1,107,-28,17,11,4,1,16,0,,,-,,field,Australia,1,Perth Stadium,2022,10,Sri Lanka_Australia_2022-10-25,Australia,Sri Lanka,Australia
95,MD Shanaka,GJ Maxwell,KIC Asalanka,2,0,2,109,-30,2,2,4,2,16,0,,,-,,field,Australia,1,Perth Stadium,2022,10,Sri Lanka_Australia_2022-10-25,Australia,Sri Lanka,Australia
96,MD Shanaka,GJ Maxwell,KIC Asalanka,0,0,0,109,-30,2,3,4,3,16,0,,,-,,field,Australia,1,Perth Stadium,2022,10,Sri Lanka_Australia_2022-10-25,Australia,Sri Lanka,Australia
97,MD Shanaka,GJ Maxwell,KIC Asalanka,1,0,1,110,-31,3,4,4,4,16,0,,,-,,field,Australia,1,Perth Stadium,2022,10,Sri Lanka_Australia_2022-10-25,Australia,Sri Lanka,Australia
98,KIC Asalanka,GJ Maxwell,MD Shanaka,1,0,1,111,-32,18,12,4,5,16,0,,,-,,field,Australia,1,Perth Stadium,2022,10,Sri Lanka_Australia_2022-10-25,Australia,Sri Lanka,Australia
99,MD Shanaka,GJ Maxwell,KIC Asalanka,0,0,0,111,-32,3,5,5,6,16,caught,MD Shanaka,MS Wade,-,,field,Australia,1,Perth Stadium,2022,10,Sri Lanka_Australia_2022-10-25,Australia,Sri Lanka,Australia
100,KIC Asalanka,PJ Cummins,PWH de Silva,0,0,0,111,-32,18,13,5,1,17,0,,,-,,field,Australia,1,Perth Stadium,2022,10,Sri Lanka_Australia_2022-10-25,Australia,Sri Lanka,Australia
101,KIC Asalanka,PJ Cummins,PWH de Silva,0,0,0,111,-32,18,14,5,2,17,0,,,-,,field,Australia,1,Perth Stadium,2022,10,Sri Lanka_Australia_2022-10-25,Australia,Sri Lanka,Australia
102,KIC Asalanka,PJ Cummins,PWH de Silva,4,0,4,115,-36,22,15,5,3,17,0,,,-,,field,Australia,1,Perth Stadium,2022,10,Sri Lanka_Australia_2022-10-25,Australia,Sri Lanka,Australia
103,KIC Asalanka,PJ Cummins,PWH de Silva,2,0,2,117,-38,24,16,5,4,17,0,,,-,,field,Australia,1,Perth Stadium,2022,10,Sri Lanka_Australia_2022-10-25,Australia,Sri Lanka,Australia
104,KIC Asalanka,PJ Cummins,PWH de Silva,1,0,1,118,-39,25,17,5,5,17,0,,,-,,field,Australia,1,Perth Stadium,2022,10,Sri Lanka_Australia_2022-10-25,Australia,Sri Lanka,Australia
105,PWH de Silva,PJ Cummins,KIC Asalanka,1,0,1,119,-40,1,1,5,6,17,0,,,-,,field,Australia,1,Perth Stadium,2022,10,Sri Lanka_Australia_2022-10-25,Australia,Sri Lanka,Australia
106,PWH de Silva,JR Hazlewood,KIC Asalanka,0,1,1,120,-41,1,2,5,1,18,0,,,wides,,field,Australia,1,Perth Stadium,2022,10,Sri Lanka_Australia_2022-10-25,Australia,Sri Lanka,Australia
107,PWH de Silva,JR Hazlewood,KIC Asalanka,0,0,0,120,-41,1,3,5,2,18,0,,,-,,field,Australia,1,Perth Stadium,2022,10,Sri Lanka_Australia_2022-10-25,Australia,Sri Lanka,Australia
108,PWH de Silva,JR Hazlewood,KIC Asalanka,0,0,0,120,-41,1,4,5,3,18,0,,,-,,field,Australia,1,Perth Stadium,2022,10,Sri Lanka_Australia_2022-10-25,Australia,Sri Lanka,Australia
109,PWH de Silva,JR Hazlewood,KIC Asalanka,0,0,0,120,-41,1,5,6,4,18,caught,PWH de Silva,MS Wade,-,,field,Australia,1,Perth Stadium,2022,10,Sri Lanka_Australia_2022-10-25,Australia,Sri Lanka,Australia
110,C Karunaratne,JR Hazlewood,KIC Asalanka,2,0,2,122,-43,2,1,6,5,18,0,,,-,,field,Australia,1,Perth Stadium,2022,10,Sri Lanka_Australia_2022-10-25,Australia,Sri Lanka,Australia
111,C Karunaratne,JR Hazlewood,KIC Asalanka,0,0,0,122,-43,2,2,6,6,18,0,,,-,,field,Australia,1,Perth Stadium,2022,10,Sri Lanka_Australia_2022-10-25,Australia,Sri Lanka,Australia
112,C Karunaratne,JR Hazlewood,KIC Asalanka,4,0,4,126,-47,6,3,6,7,18,0,,,-,,field,Australia,1,Perth Stadium,2022,10,Sri Lanka_Australia_2022-10-25,Australia,Sri Lanka,Australia
113,KIC Asalanka,MA Starc,C Karunaratne,0,0,0,126,-47,25,18,6,1,19,0,,,-,,field,Australia,1,Perth Stadium,2022,10,Sri Lanka_Australia_2022-10-25,Australia,Sri Lanka,Australia
114,KIC Asalanka,MA Starc,C Karunaratne,1,0,1,127,-48,26,19,6,2,19,0,,,-,,field,Australia,1,Perth Stadium,2022,10,Sri Lanka_Australia_2022-10-25,Australia,Sri Lanka,Australia
115,C Karunaratne,MA Starc,KIC Asalanka,0,5,5,132,-53,6,4,6,3,19,0,,,wides,,field,Australia,1,Perth Stadium,2022,10,Sri Lanka_Australia_2022-10-25,Australia,Sri Lanka,Australia
116,C Karunaratne,MA Starc,KIC Asalanka,3,0,3,135,-56,9,5,6,4,19,0,,,-,,field,Australia,1,Perth Stadium,2022,10,Sri Lanka_Australia_2022-10-25,Australia,Sri Lanka,Australia
117,KIC Asalanka,MA Starc,C Karunaratne,0,1,1,136,-57,26,20,6,5,19,0,,,legbyes,,field,Australia,1,Perth Stadium,2022,10,Sri Lanka_Australia_2022-10-25,Australia,Sri Lanka,Australia
118,C Karunaratne,MA Starc,KIC Asalanka,1,0,1,137,-58,10,6,6,6,19,0,,,-,,field,Australia,1,Perth Stadium,2022,10,Sri Lanka_Australia_2022-10-25,Australia,Sri Lanka,Australia
119,KIC Asalanka,MA Starc,C Karunaratne,0,0,0,137,-58,26,21,6,7,19,0,,,-,,field,Australia,1,Perth Stadium,2022,10,Sri Lanka_Australia_2022-10-25,Australia,Sri Lanka,Australia
120,C Karunaratne,PJ Cummins,KIC Asalanka,0,1,1,138,-59,10,7,6,1,20,0,,,byes,"{'by': 'Australia', 'umpire': 'RK Illingworth', 'batter': 'C Karunaratne', 'decision': 'struck down'}",field,Australia,1,Perth Stadium,2022,10,Sri Lanka_Australia_2022-10-25,Australia,Sri Lanka,Australia
