,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,wicket_type,player_out,fielder,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,team_final
50,Rahmanullah Gurbaz,C Karunaratne,Ibrahim Zadran,1,0,1,74,109,50,22,1,3,9,-,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2022,09,Afghanistan_Sri Lanka_2022-09-03,Sri Lanka,Afghanistan,Sri Lanka,175
51,Ibrahim Zadran,C Karunaratne,Rahmanullah Gurbaz,1,0,1,75,108,12,14,1,4,9,-,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2022,09,Afghanistan_Sri Lanka_2022-09-03,Sri Lanka,Afghanistan,Sri Lanka,175
52,Rahmanullah Gurbaz,C Karunaratne,Ibrahim Zadran,0,1,1,76,107,50,23,1,5,9,wides,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2022,09,Afghanistan_Sri Lanka_2022-09-03,Sri Lanka,Afghanistan,Sri Lanka,175
53,Rahmanullah Gurbaz,C Karunaratne,Ibrahim Zadran,0,0,0,76,107,50,24,1,6,9,-,0,,,"{'by': 'Sri Lanka', 'umpire': 'Ahsan Raza', 'batter': 'Rahmanullah Gurbaz', 'decision': 'struck down'}",field,Sri Lanka,1,Sharjah Cricket Stadium,2022,09,Afghanistan_Sri Lanka_2022-09-03,Sri Lanka,Afghanistan,Sri Lanka,175
54,Rahmanullah Gurbaz,C Karunaratne,Ibrahim Zadran,2,0,2,78,105,52,25,1,7,9,-,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2022,09,Afghanistan_Sri Lanka_2022-09-03,Sri Lanka,Afghanistan,Sri Lanka,175
55,Ibrahim Zadran,PWH de Silva,Rahmanullah Gurbaz,1,0,1,79,104,13,15,1,1,10,-,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2022,09,Afghanistan_Sri Lanka_2022-09-03,Sri Lanka,Afghanistan,Sri Lanka,175
56,Rahmanullah Gurbaz,PWH de Silva,Ibrahim Zadran,1,0,1,80,103,53,26,1,2,10,-,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2022,09,Afghanistan_Sri Lanka_2022-09-03,Sri Lanka,Afghanistan,Sri Lanka,175
57,Ibrahim Zadran,PWH de Silva,Rahmanullah Gurbaz,1,0,1,81,102,14,16,1,3,10,-,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2022,09,Afghanistan_Sri Lanka_2022-09-03,Sri Lanka,Afghanistan,Sri Lanka,175
58,Rahmanullah Gurbaz,PWH de Silva,Ibrahim Zadran,1,0,1,82,101,54,27,1,4,10,-,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2022,09,Afghanistan_Sri Lanka_2022-09-03,Sri Lanka,Afghanistan,Sri Lanka,175
59,Ibrahim Zadran,PWH de Silva,Rahmanullah Gurbaz,0,0,0,82,101,14,17,1,5,10,-,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2022,09,Afghanistan_Sri Lanka_2022-09-03,Sri Lanka,Afghanistan,Sri Lanka,175
60,Ibrahim Zadran,PWH de Silva,Rahmanullah Gurbaz,1,0,1,83,100,15,18,1,6,10,-,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2022,09,Afghanistan_Sri Lanka_2022-09-03,Sri Lanka,Afghanistan,Sri Lanka,175
61,Ibrahim Zadran,MD Shanaka,Rahmanullah Gurbaz,1,0,1,84,99,16,19,1,1,11,-,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2022,09,Afghanistan_Sri Lanka_2022-09-03,Sri Lanka,Afghanistan,Sri Lanka,175
62,Rahmanullah Gurbaz,MD Shanaka,Ibrahim Zadran,1,0,1,85,98,55,28,1,2,11,-,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2022,09,Afghanistan_Sri Lanka_2022-09-03,Sri Lanka,Afghanistan,Sri Lanka,175
63,Ibrahim Zadran,MD Shanaka,Rahmanullah Gurbaz,1,0,1,86,97,17,20,1,3,11,-,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2022,09,Afghanistan_Sri Lanka_2022-09-03,Sri Lanka,Afghanistan,Sri Lanka,175
64,Rahmanullah Gurbaz,MD Shanaka,Ibrahim Zadran,0,0,0,86,97,55,29,1,4,11,-,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2022,09,Afghanistan_Sri Lanka_2022-09-03,Sri Lanka,Afghanistan,Sri Lanka,175
65,Rahmanullah Gurbaz,MD Shanaka,Ibrahim Zadran,1,0,1,87,96,56,30,1,5,11,-,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2022,09,Afghanistan_Sri Lanka_2022-09-03,Sri Lanka,Afghanistan,Sri Lanka,175
66,Ibrahim Zadran,MD Shanaka,Rahmanullah Gurbaz,2,0,2,89,94,19,21,1,6,11,-,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2022,09,Afghanistan_Sri Lanka_2022-09-03,Sri Lanka,Afghanistan,Sri Lanka,175
67,Rahmanullah Gurbaz,D Madushanka,Ibrahim Zadran,1,0,1,90,93,57,31,1,1,12,-,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2022,09,Afghanistan_Sri Lanka_2022-09-03,Sri Lanka,Afghanistan,Sri Lanka,175
68,Ibrahim Zadran,D Madushanka,Rahmanullah Gurbaz,0,1,1,91,92,19,22,1,2,12,wides,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2022,09,Afghanistan_Sri Lanka_2022-09-03,Sri Lanka,Afghanistan,Sri Lanka,175
69,Ibrahim Zadran,D Madushanka,Rahmanullah Gurbaz,0,0,0,91,92,19,23,1,3,12,-,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2022,09,Afghanistan_Sri Lanka_2022-09-03,Sri Lanka,Afghanistan,Sri Lanka,175
70,Ibrahim Zadran,D Madushanka,Rahmanullah Gurbaz,1,0,1,92,91,20,24,1,4,12,-,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2022,09,Afghanistan_Sri Lanka_2022-09-03,Sri Lanka,Afghanistan,Sri Lanka,175
71,Rahmanullah Gurbaz,D Madushanka,Ibrahim Zadran,0,1,1,93,90,57,32,1,5,12,wides,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2022,09,Afghanistan_Sri Lanka_2022-09-03,Sri Lanka,Afghanistan,Sri Lanka,175
