,batter,bowler,non_striker,review,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,extra_type,wicket_type,player_out,fielder,over,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
109,MD Shanaka,BG Lister,MDKJ Perera,,1,0,1,169,1,2,5,-,0,,,17,field,New Zealand,1,"Eden Park, Auckland",2023-04-02,Sri Lanka,New Zealand
110,MDKJ Perera,BG Lister,MD Shanaka,,2,0,2,171,50,46,6,-,0,,,17,field,New Zealand,1,"Eden Park, Auckland",2023-04-02,Sri Lanka,New Zealand
111,MD Shanaka,JDS Neesham,MDKJ Perera,,0,0,0,171,1,3,1,-,caught,MD Shanaka,AF Milne,18,field,New Zealand,1,"Eden Park, Auckland",2023-04-02,Sri Lanka,New Zealand
112,PWH de Silva,JDS Neesham,MDKJ Perera,,0,0,0,171,0,1,2,-,0,,,18,field,New Zealand,1,"Eden Park, Auckland",2023-04-02,Sri Lanka,New Zealand
113,PWH de Silva,JDS Neesham,MDKJ Perera,,2,0,2,173,2,2,3,-,0,,,18,field,New Zealand,1,"Eden Park, Auckland",2023-04-02,Sri Lanka,New Zealand
114,PWH de Silva,JDS Neesham,MDKJ Perera,,1,0,1,174,3,3,4,-,0,,,18,field,New Zealand,1,"Eden Park, Auckland",2023-04-02,Sri Lanka,New Zealand
115,MDKJ Perera,JDS Neesham,PWH de Silva,,1,0,1,175,51,47,5,-,0,,,18,field,New Zealand,1,"Eden Park, Auckland",2023-04-02,Sri Lanka,New Zealand
116,PWH de Silva,JDS Neesham,MDKJ Perera,,1,0,1,176,4,4,6,-,0,,,18,field,New Zealand,1,"Eden Park, Auckland",2023-04-02,Sri Lanka,New Zealand
117,PWH de Silva,AF Milne,MDKJ Perera,,0,0,0,176,4,5,1,-,0,,,19,field,New Zealand,1,"Eden Park, Auckland",2023-04-02,Sri Lanka,New Zealand
118,PWH de Silva,AF Milne,MDKJ Perera,,0,1,1,177,4,6,2,legbyes,0,,,19,field,New Zealand,1,"Eden Park, Auckland",2023-04-02,Sri Lanka,New Zealand
119,MDKJ Perera,AF Milne,PWH de Silva,,0,0,0,177,51,48,3,-,0,,,19,field,New Zealand,1,"Eden Park, Auckland",2023-04-02,Sri Lanka,New Zealand
120,MDKJ Perera,AF Milne,PWH de Silva,,0,0,0,177,51,49,4,-,0,,,19,field,New Zealand,1,"Eden Park, Auckland",2023-04-02,Sri Lanka,New Zealand
121,MDKJ Perera,AF Milne,PWH de Silva,,0,0,0,177,51,50,5,-,0,,,19,field,New Zealand,1,"Eden Park, Auckland",2023-04-02,Sri Lanka,New Zealand
122,MDKJ Perera,AF Milne,PWH de Silva,,1,0,1,178,52,51,6,-,0,,,19,field,New Zealand,1,"Eden Park, Auckland",2023-04-02,Sri Lanka,New Zealand
123,MDKJ Perera,HB Shipley,PWH de Silva,,1,0,1,179,53,52,1,-,0,,,20,field,New Zealand,1,"Eden Park, Auckland",2023-04-02,Sri Lanka,New Zealand
124,PWH de Silva,HB Shipley,MDKJ Perera,,2,0,2,181,6,7,2,-,0,,,20,field,New Zealand,1,"Eden Park, Auckland",2023-04-02,Sri Lanka,New Zealand
125,PWH de Silva,HB Shipley,MDKJ Perera,,0,0,0,181,6,8,3,-,0,,,20,field,New Zealand,1,"Eden Park, Auckland",2023-04-02,Sri Lanka,New Zealand
126,PWH de Silva,HB Shipley,MDKJ Perera,,6,0,6,187,12,9,4,-,0,,,20,field,New Zealand,1,"Eden Park, Auckland",2023-04-02,Sri Lanka,New Zealand
127,PWH de Silva,HB Shipley,MDKJ Perera,,6,0,6,193,18,10,5,-,0,,,20,field,New Zealand,1,"Eden Park, Auckland",2023-04-02,Sri Lanka,New Zealand
128,PWH de Silva,HB Shipley,MDKJ Perera,,3,0,3,196,21,11,6,-,0,,,20,field,New Zealand,1,"Eden Park, Auckland",2023-04-02,Sri Lanka,New Zealand
