,batter,bowler,non_striker,review,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,over,replacements,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_total
68,Rishad Hossain,PWH de Silva,Mahedi Hasan,,6,0,6,56,118,19,12,6,5,-,10,,0,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Bangladesh,Sri Lanka,146
69,Rishad Hossain,PWH de Silva,Mahedi Hasan,,1,0,1,57,117,20,13,6,6,-,10,,0,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Bangladesh,Sri Lanka,146
70,Rishad Hossain,M Theekshana,Mahedi Hasan,,0,0,0,57,117,20,14,6,1,-,11,,0,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Bangladesh,Sri Lanka,146
71,Rishad Hossain,M Theekshana,Mahedi Hasan,,0,1,1,58,116,20,15,6,2,byes,11,,0,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Bangladesh,Sri Lanka,146
72,Mahedi Hasan,M Theekshana,Rishad Hossain,,1,0,1,59,115,9,14,6,3,-,11,,0,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Bangladesh,Sri Lanka,146
73,Rishad Hossain,M Theekshana,Mahedi Hasan,,0,0,0,59,115,20,16,6,4,-,11,,0,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Bangladesh,Sri Lanka,146
74,Rishad Hossain,M Theekshana,Mahedi Hasan,,0,0,0,59,115,20,17,6,5,-,11,,0,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Bangladesh,Sri Lanka,146
75,Rishad Hossain,M Theekshana,Mahedi Hasan,,6,0,6,65,109,26,18,6,6,-,11,,0,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Bangladesh,Sri Lanka,146
76,Mahedi Hasan,MD Shanaka,Rishad Hossain,,4,0,4,69,105,13,15,6,1,-,12,,0,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Bangladesh,Sri Lanka,146
77,Mahedi Hasan,MD Shanaka,Rishad Hossain,,4,0,4,73,101,17,16,6,2,-,12,,0,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Bangladesh,Sri Lanka,146
78,Mahedi Hasan,MD Shanaka,Rishad Hossain,,0,0,0,73,101,17,17,6,3,-,12,,0,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Bangladesh,Sri Lanka,146
79,Mahedi Hasan,MD Shanaka,Rishad Hossain,,0,0,0,73,101,17,18,6,4,-,12,,0,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Bangladesh,Sri Lanka,146
80,Mahedi Hasan,MD Shanaka,Rishad Hossain,,2,0,2,75,99,19,19,6,5,-,12,,0,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Bangladesh,Sri Lanka,146
81,Mahedi Hasan,MD Shanaka,Rishad Hossain,,0,0,0,75,99,19,20,6,6,-,12,,0,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Bangladesh,Sri Lanka,146
82,Rishad Hossain,PWH de Silva,Mahedi Hasan,,1,0,1,76,98,27,19,6,1,-,13,,0,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Bangladesh,Sri Lanka,146
83,Mahedi Hasan,PWH de Silva,Rishad Hossain,,0,0,0,76,98,19,21,7,2,-,13,,bowled,Mahedi Hasan,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Bangladesh,Sri Lanka,146
84,Taskin Ahmed,PWH de Silva,Rishad Hossain,,0,0,0,76,98,0,1,7,3,-,13,,0,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Bangladesh,Sri Lanka,146
85,Taskin Ahmed,PWH de Silva,Rishad Hossain,,0,0,0,76,98,0,2,7,4,-,13,,0,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Bangladesh,Sri Lanka,146
86,Taskin Ahmed,PWH de Silva,Rishad Hossain,,4,0,4,80,94,4,3,7,5,-,13,,0,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Bangladesh,Sri Lanka,146
87,Taskin Ahmed,PWH de Silva,Rishad Hossain,,4,0,4,84,90,8,4,7,6,-,13,,0,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Bangladesh,Sri Lanka,146
88,Rishad Hossain,M Theekshana,Taskin Ahmed,,0,0,0,84,90,27,20,7,1,-,14,,0,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Bangladesh,Sri Lanka,146
89,Rishad Hossain,M Theekshana,Taskin Ahmed,,6,0,6,90,84,33,21,7,2,-,14,,0,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Bangladesh,Sri Lanka,146
90,Rishad Hossain,M Theekshana,Taskin Ahmed,,0,0,0,90,84,33,22,7,3,-,14,,0,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Bangladesh,Sri Lanka,146
91,Rishad Hossain,M Theekshana,Taskin Ahmed,,0,0,0,90,84,33,23,7,4,-,14,,0,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Bangladesh,Sri Lanka,146
92,Rishad Hossain,M Theekshana,Taskin Ahmed,,6,0,6,96,78,39,24,7,5,-,14,,0,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Bangladesh,Sri Lanka,146
93,Rishad Hossain,M Theekshana,Taskin Ahmed,,6,0,6,102,72,45,25,7,6,-,14,,0,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Bangladesh,Sri Lanka,146
94,Taskin Ahmed,B Fernando,Rishad Hossain,,4,0,4,106,68,12,5,7,1,-,15,,0,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Bangladesh,Sri Lanka,146
95,Taskin Ahmed,B Fernando,Rishad Hossain,,1,0,1,107,67,13,6,7,2,-,15,,0,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-09,Sri Lanka,Bangladesh,Sri Lanka,146
