,batter,bowler,non_striker,review,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,wicket_type,player_out,fielder,over,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_total
88,AK Markram,RJW Topley,RR Hendricks,,1,0,1,117,90,32,24,2,1,0,,,14,-,field,England,1,"The Rose Bowl, Southampton",2022,07,South Africa_England_2022-07-31,South Africa,South Africa,England,191
89,RR Hendricks,RJW Topley,AK Markram,,2,0,2,119,88,51,44,2,2,0,,,14,-,field,England,1,"The Rose Bowl, Southampton",2022,07,South Africa_England_2022-07-31,South Africa,South Africa,England,191
90,RR Hendricks,RJW Topley,AK Markram,,2,0,2,121,86,53,45,2,3,0,,,14,-,field,England,1,"The Rose Bowl, Southampton",2022,07,South Africa_England_2022-07-31,South Africa,South Africa,England,191
91,RR Hendricks,RJW Topley,AK Markram,,4,0,4,125,82,57,46,2,4,0,,,14,-,field,England,1,"The Rose Bowl, Southampton",2022,07,South Africa_England_2022-07-31,South Africa,South Africa,England,191
92,RR Hendricks,RJW Topley,AK Markram,,1,0,1,126,81,58,47,2,5,0,,,14,-,field,England,1,"The Rose Bowl, Southampton",2022,07,South Africa_England_2022-07-31,South Africa,South Africa,England,191
93,AK Markram,RJW Topley,RR Hendricks,,1,0,1,127,80,33,25,2,6,0,,,14,-,field,England,1,"The Rose Bowl, Southampton",2022,07,South Africa_England_2022-07-31,South Africa,South Africa,England,191
94,AK Markram,SM Curran,RR Hendricks,,0,0,0,127,80,33,26,2,1,0,,,15,-,field,England,1,"The Rose Bowl, Southampton",2022,07,South Africa_England_2022-07-31,South Africa,South Africa,England,191
95,AK Markram,SM Curran,RR Hendricks,,1,0,1,128,79,34,27,2,2,0,,,15,-,field,England,1,"The Rose Bowl, Southampton",2022,07,South Africa_England_2022-07-31,South Africa,South Africa,England,191
96,RR Hendricks,SM Curran,AK Markram,,4,0,4,132,75,62,48,2,3,0,,,15,-,field,England,1,"The Rose Bowl, Southampton",2022,07,South Africa_England_2022-07-31,South Africa,South Africa,England,191
97,RR Hendricks,SM Curran,AK Markram,,0,1,1,133,74,62,49,2,4,0,,,15,wides,field,England,1,"The Rose Bowl, Southampton",2022,07,South Africa_England_2022-07-31,South Africa,South Africa,England,191
98,RR Hendricks,SM Curran,AK Markram,,4,0,4,137,70,66,50,2,5,0,,,15,-,field,England,1,"The Rose Bowl, Southampton",2022,07,South Africa_England_2022-07-31,South Africa,South Africa,England,191
99,RR Hendricks,SM Curran,AK Markram,,0,0,0,137,70,66,51,2,6,0,,,15,-,field,England,1,"The Rose Bowl, Southampton",2022,07,South Africa_England_2022-07-31,South Africa,South Africa,England,191
100,RR Hendricks,SM Curran,AK Markram,,4,0,4,141,66,70,52,2,7,0,,,15,-,field,England,1,"The Rose Bowl, Southampton",2022,07,South Africa_England_2022-07-31,South Africa,South Africa,England,191
101,AK Markram,CJ Jordan,RR Hendricks,,0,0,0,141,66,34,28,2,1,0,,,16,-,field,England,1,"The Rose Bowl, Southampton",2022,07,South Africa_England_2022-07-31,South Africa,South Africa,England,191
102,AK Markram,CJ Jordan,RR Hendricks,,0,1,1,142,65,34,29,2,2,0,,,16,legbyes,field,England,1,"The Rose Bowl, Southampton",2022,07,South Africa_England_2022-07-31,South Africa,South Africa,England,191
103,RR Hendricks,CJ Jordan,AK Markram,,0,0,0,142,65,70,53,3,3,caught,RR Hendricks,JC Buttler,16,-,field,England,1,"The Rose Bowl, Southampton",2022,07,South Africa_England_2022-07-31,South Africa,South Africa,England,191
104,AK Markram,CJ Jordan,DA Miller,,1,0,1,143,64,35,30,3,4,0,,,16,-,field,England,1,"The Rose Bowl, Southampton",2022,07,South Africa_England_2022-07-31,South Africa,South Africa,England,191
105,DA Miller,CJ Jordan,AK Markram,,4,0,4,147,60,4,1,3,5,0,,,16,-,field,England,1,"The Rose Bowl, Southampton",2022,07,South Africa_England_2022-07-31,South Africa,South Africa,England,191
106,DA Miller,CJ Jordan,AK Markram,,4,0,4,151,56,8,2,3,6,0,,,16,-,field,England,1,"The Rose Bowl, Southampton",2022,07,South Africa_England_2022-07-31,South Africa,South Africa,England,191
107,AK Markram,RJW Topley,DA Miller,,4,0,4,155,52,39,31,3,1,0,,,17,-,field,England,1,"The Rose Bowl, Southampton",2022,07,South Africa_England_2022-07-31,South Africa,South Africa,England,191
108,AK Markram,RJW Topley,DA Miller,,4,0,4,159,48,43,32,3,2,0,,,17,-,field,England,1,"The Rose Bowl, Southampton",2022,07,South Africa_England_2022-07-31,South Africa,South Africa,England,191
109,AK Markram,RJW Topley,DA Miller,,1,0,1,160,47,44,33,3,3,0,,,17,-,field,England,1,"The Rose Bowl, Southampton",2022,07,South Africa_England_2022-07-31,South Africa,South Africa,England,191
110,DA Miller,RJW Topley,AK Markram,,4,0,4,164,43,12,3,3,4,0,,,17,-,field,England,1,"The Rose Bowl, Southampton",2022,07,South Africa_England_2022-07-31,South Africa,South Africa,England,191
111,DA Miller,RJW Topley,AK Markram,,1,0,1,165,42,13,4,3,5,0,,,17,-,field,England,1,"The Rose Bowl, Southampton",2022,07,South Africa_England_2022-07-31,South Africa,South Africa,England,191
112,AK Markram,RJW Topley,DA Miller,,0,1,1,166,41,44,34,3,6,0,,,17,legbyes,field,England,1,"The Rose Bowl, Southampton",2022,07,South Africa_England_2022-07-31,South Africa,South Africa,England,191
113,AK Markram,CJ Jordan,DA Miller,,1,0,1,167,40,45,35,3,1,0,,,18,-,field,England,1,"The Rose Bowl, Southampton",2022,07,South Africa_England_2022-07-31,South Africa,South Africa,England,191
114,DA Miller,CJ Jordan,AK Markram,,0,0,0,167,40,13,5,3,2,0,,,18,-,field,England,1,"The Rose Bowl, Southampton",2022,07,South Africa_England_2022-07-31,South Africa,South Africa,England,191
115,DA Miller,CJ Jordan,AK Markram,,6,0,6,173,34,19,6,3,3,0,,,18,-,field,England,1,"The Rose Bowl, Southampton",2022,07,South Africa_England_2022-07-31,South Africa,South Africa,England,191
116,DA Miller,CJ Jordan,AK Markram,,0,1,1,174,33,19,7,3,4,0,,,18,wides,field,England,1,"The Rose Bowl, Southampton",2022,07,South Africa_England_2022-07-31,South Africa,South Africa,England,191
117,DA Miller,CJ Jordan,AK Markram,,1,0,1,175,32,20,8,3,5,0,,,18,-,field,England,1,"The Rose Bowl, Southampton",2022,07,South Africa_England_2022-07-31,South Africa,South Africa,England,191
118,AK Markram,CJ Jordan,DA Miller,,4,0,4,179,28,49,36,3,6,0,,,18,-,field,England,1,"The Rose Bowl, Southampton",2022,07,South Africa_England_2022-07-31,South Africa,South Africa,England,191
119,AK Markram,CJ Jordan,DA Miller,,2,0,2,181,26,51,37,3,7,0,,,18,-,field,England,1,"The Rose Bowl, Southampton",2022,07,South Africa_England_2022-07-31,South Africa,South Africa,England,191
120,DA Miller,DJ Willey,AK Markram,,2,0,2,183,24,22,9,3,1,0,,,19,-,field,England,1,"The Rose Bowl, Southampton",2022,07,South Africa_England_2022-07-31,South Africa,South Africa,England,191
121,DA Miller,DJ Willey,AK Markram,,0,0,0,183,24,22,10,4,2,bowled,DA Miller,,19,-,field,England,1,"The Rose Bowl, Southampton",2022,07,South Africa_England_2022-07-31,South Africa,South Africa,England,191
122,T Stubbs,DJ Willey,AK Markram,,4,0,4,187,20,4,1,4,3,0,,,19,-,field,England,1,"The Rose Bowl, Southampton",2022,07,South Africa_England_2022-07-31,South Africa,South Africa,England,191
123,T Stubbs,DJ Willey,AK Markram,,4,0,4,191,16,8,2,4,4,0,,,19,-,field,England,1,"The Rose Bowl, Southampton",2022,07,South Africa_England_2022-07-31,South Africa,South Africa,England,191
124,T Stubbs,DJ Willey,AK Markram,,0,0,0,191,16,8,3,4,5,0,,,19,-,field,England,1,"The Rose Bowl, Southampton",2022,07,South Africa_England_2022-07-31,South Africa,South Africa,England,191
125,T Stubbs,DJ Willey,AK Markram,,0,0,0,191,16,8,4,5,6,caught,T Stubbs,LS Livingstone,19,-,field,England,1,"The Rose Bowl, Southampton",2022,07,South Africa_England_2022-07-31,South Africa,South Africa,England,191
