,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,extra_type,review,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,date,winning_team,batting_team,bowling_team
105,Azmatullah Omarzai,N Thushara,Mohammad Nabi,0,0,0,175,30,22,2,18,-,,0,,,bat,Afghanistan,1,Rangiri Dambulla International Stadium,2024-02-21,Afghanistan,Afghanistan,Sri Lanka
106,Azmatullah Omarzai,N Thushara,Mohammad Nabi,1,0,1,176,31,23,3,18,-,,0,,,bat,Afghanistan,1,Rangiri Dambulla International Stadium,2024-02-21,Afghanistan,Afghanistan,Sri Lanka
107,Mohammad Nabi,N Thushara,Azmatullah Omarzai,4,0,4,180,13,10,4,18,-,,0,,,bat,Afghanistan,1,Rangiri Dambulla International Stadium,2024-02-21,Afghanistan,Afghanistan,Sri Lanka
108,Mohammad Nabi,N Thushara,Azmatullah Omarzai,2,0,2,182,15,11,5,18,-,,0,,,bat,Afghanistan,1,Rangiri Dambulla International Stadium,2024-02-21,Afghanistan,Afghanistan,Sri Lanka
109,Mohammad Nabi,N Thushara,Azmatullah Omarzai,0,0,0,182,15,12,6,18,-,,0,,,bat,Afghanistan,1,Rangiri Dambulla International Stadium,2024-02-21,Afghanistan,Afghanistan,Sri Lanka
110,Azmatullah Omarzai,M Pathirana,Mohammad Nabi,0,0,0,182,31,24,1,19,-,,caught,Azmatullah Omarzai,MDKJ Perera,bat,Afghanistan,1,Rangiri Dambulla International Stadium,2024-02-21,Afghanistan,Afghanistan,Sri Lanka
111,Karim Janat,M Pathirana,Mohammad Nabi,0,0,0,182,0,1,2,19,-,,bowled,Karim Janat,,bat,Afghanistan,1,Rangiri Dambulla International Stadium,2024-02-21,Afghanistan,Afghanistan,Sri Lanka
112,Mohammad Ishaq,M Pathirana,Mohammad Nabi,0,4,4,186,0,1,3,19,legbyes,,0,,,bat,Afghanistan,1,Rangiri Dambulla International Stadium,2024-02-21,Afghanistan,Afghanistan,Sri Lanka
113,Mohammad Ishaq,M Pathirana,Mohammad Nabi,1,0,1,187,1,2,4,19,-,,0,,,bat,Afghanistan,1,Rangiri Dambulla International Stadium,2024-02-21,Afghanistan,Afghanistan,Sri Lanka
114,Mohammad Nabi,M Pathirana,Mohammad Ishaq,0,4,4,191,15,13,5,19,wides,,0,,,bat,Afghanistan,1,Rangiri Dambulla International Stadium,2024-02-21,Afghanistan,Afghanistan,Sri Lanka
