,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,review,extra_type,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
105,F Hand,LH Ferguson,GH Dockrell,0,0,0,131,5,3,3,18,,-,caught and bowled,F Hand,,field,Ireland,2,Adelaide Oval,2022-11-04,Ireland,New Zealand
106,MR Adair,LH Ferguson,GH Dockrell,1,0,1,132,1,1,4,18,,-,0,,,field,Ireland,2,Adelaide Oval,2022-11-04,Ireland,New Zealand
107,GH Dockrell,LH Ferguson,MR Adair,0,0,0,132,23,15,5,18,,-,caught,GH Dockrell,KS Williamson,field,Ireland,2,Adelaide Oval,2022-11-04,Ireland,New Zealand
108,BJ McCarthy,LH Ferguson,MR Adair,1,0,1,133,1,1,6,18,,-,0,,,field,Ireland,2,Adelaide Oval,2022-11-04,Ireland,New Zealand
109,BJ McCarthy,TA Boult,MR Adair,1,0,1,134,2,2,1,19,,-,0,,,field,Ireland,2,Adelaide Oval,2022-11-04,Ireland,New Zealand
110,MR Adair,TA Boult,BJ McCarthy,1,0,1,135,2,2,2,19,,-,0,,,field,Ireland,2,Adelaide Oval,2022-11-04,Ireland,New Zealand
111,BJ McCarthy,TA Boult,MR Adair,2,0,2,137,4,3,3,19,,-,0,,,field,Ireland,2,Adelaide Oval,2022-11-04,Ireland,New Zealand
112,BJ McCarthy,TA Boult,MR Adair,1,0,1,138,5,4,4,19,,-,0,,,field,Ireland,2,Adelaide Oval,2022-11-04,Ireland,New Zealand
113,MR Adair,TA Boult,BJ McCarthy,2,0,2,140,4,3,5,19,,-,0,,,field,Ireland,2,Adelaide Oval,2022-11-04,Ireland,New Zealand
114,MR Adair,TA Boult,BJ McCarthy,0,1,1,141,4,4,6,19,,legbyes,0,,,field,Ireland,2,Adelaide Oval,2022-11-04,Ireland,New Zealand
115,MR Adair,TG Southee,BJ McCarthy,0,0,0,141,4,5,1,20,,-,caught,MR Adair,GD Phillips,field,Ireland,2,Adelaide Oval,2022-11-04,Ireland,New Zealand
116,J Little,TG Southee,BJ McCarthy,1,0,1,142,1,1,2,20,,-,0,,,field,Ireland,2,Adelaide Oval,2022-11-04,Ireland,New Zealand
117,BJ McCarthy,TG Southee,J Little,1,0,1,143,6,5,3,20,,-,0,,,field,Ireland,2,Adelaide Oval,2022-11-04,Ireland,New Zealand
118,J Little,TG Southee,BJ McCarthy,6,0,6,149,7,2,4,20,,-,0,,,field,Ireland,2,Adelaide Oval,2022-11-04,Ireland,New Zealand
119,J Little,TG Southee,BJ McCarthy,0,0,0,149,7,3,5,20,,-,0,,,field,Ireland,2,Adelaide Oval,2022-11-04,Ireland,New Zealand
120,J Little,TG Southee,BJ McCarthy,1,0,1,150,8,4,6,20,,-,0,,,field,Ireland,2,Adelaide Oval,2022-11-04,Ireland,New Zealand
