,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,over,wicket_type,player_out,fielder,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total,batter_type,non_striker_type,bowler_type
69,JC Buttler,M Theekshana,EJG Morgan,0,0,0,59,,34,37,3,-,1.0,11,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2021,11,England_Sri Lanka_2021-11-01,England,England,Sri Lanka,True,163,,Left hand Bat,Right arm Offbreak
70,JC Buttler,M Theekshana,EJG Morgan,0,0,0,59,,34,38,3,-,2.0,11,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2021,11,England_Sri Lanka_2021-11-01,England,England,Sri Lanka,True,163,,Left hand Bat,Right arm Offbreak
71,JC Buttler,M Theekshana,EJG Morgan,1,0,1,60,,35,39,3,-,3.0,11,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2021,11,England_Sri Lanka_2021-11-01,England,England,Sri Lanka,True,163,,Left hand Bat,Right arm Offbreak
72,EJG Morgan,M Theekshana,JC Buttler,0,0,0,60,,7,17,3,-,4.0,11,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2021,11,England_Sri Lanka_2021-11-01,England,England,Sri Lanka,True,163,Left hand Bat,,Right arm Offbreak
73,EJG Morgan,M Theekshana,JC Buttler,0,0,0,60,,7,18,3,-,5.0,11,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2021,11,England_Sri Lanka_2021-11-01,England,England,Sri Lanka,True,163,Left hand Bat,,Right arm Offbreak
74,EJG Morgan,M Theekshana,JC Buttler,1,0,1,61,,8,19,3,-,6.0,11,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2021,11,England_Sri Lanka_2021-11-01,England,England,Sri Lanka,True,163,Left hand Bat,,Right arm Offbreak
75,EJG Morgan,C Karunaratne,JC Buttler,1,0,1,62,,9,20,3,-,1.0,12,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2021,11,England_Sri Lanka_2021-11-01,England,England,Sri Lanka,True,163,Left hand Bat,,Right arm Medium
76,JC Buttler,C Karunaratne,EJG Morgan,4,0,4,66,,39,40,3,-,2.0,12,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2021,11,England_Sri Lanka_2021-11-01,England,England,Sri Lanka,True,163,,Left hand Bat,Right arm Medium
77,JC Buttler,C Karunaratne,EJG Morgan,6,0,6,72,,45,41,3,-,3.0,12,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2021,11,England_Sri Lanka_2021-11-01,England,England,Sri Lanka,True,163,,Left hand Bat,Right arm Medium
78,JC Buttler,C Karunaratne,EJG Morgan,2,0,2,74,,47,42,3,-,4.0,12,0,,,,field,Sri Lanka,1,Sharjah Cricket Stadium,2021,11,England_Sri Lanka_2021-11-01,England,England,Sri Lanka,True,163,,Left hand Bat,Right arm Medium
