,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,review,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,team_final
88,Yasir Ali Chowdhury,AF Milne,Shakib Al Hasan,0,0,0,120,88,0,1,5,3,15,-,,0,,,field,Bangladesh,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Bangladesh_2022-10-12,New Zealand,Bangladesh,New Zealand,160
89,Yasir Ali Chowdhury,AF Milne,Shakib Al Hasan,0,0,0,120,88,0,2,5,4,15,-,,0,,,field,Bangladesh,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Bangladesh_2022-10-12,New Zealand,Bangladesh,New Zealand,160
90,Yasir Ali Chowdhury,AF Milne,Shakib Al Hasan,1,0,1,121,87,1,3,5,5,15,-,,0,,,field,Bangladesh,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Bangladesh_2022-10-12,New Zealand,Bangladesh,New Zealand,160
91,Shakib Al Hasan,AF Milne,Yasir Ali Chowdhury,1,0,1,122,86,49,33,5,6,15,-,,0,,,field,Bangladesh,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Bangladesh_2022-10-12,New Zealand,Bangladesh,New Zealand,160
92,Shakib Al Hasan,TG Southee,Yasir Ali Chowdhury,1,0,1,123,85,50,34,5,1,16,-,,0,,,field,Bangladesh,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Bangladesh_2022-10-12,New Zealand,Bangladesh,New Zealand,160
93,Yasir Ali Chowdhury,TG Southee,Shakib Al Hasan,4,0,4,127,81,5,4,5,2,16,-,,0,,,field,Bangladesh,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Bangladesh_2022-10-12,New Zealand,Bangladesh,New Zealand,160
94,Yasir Ali Chowdhury,TG Southee,Shakib Al Hasan,1,0,1,128,80,6,5,5,3,16,-,,0,,,field,Bangladesh,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Bangladesh_2022-10-12,New Zealand,Bangladesh,New Zealand,160
95,Shakib Al Hasan,TG Southee,Yasir Ali Chowdhury,6,0,6,134,74,56,35,5,4,16,-,,0,,,field,Bangladesh,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Bangladesh_2022-10-12,New Zealand,Bangladesh,New Zealand,160
96,Shakib Al Hasan,TG Southee,Yasir Ali Chowdhury,1,0,1,135,73,57,36,5,5,16,-,,0,,,field,Bangladesh,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Bangladesh_2022-10-12,New Zealand,Bangladesh,New Zealand,160
97,Yasir Ali Chowdhury,TG Southee,Shakib Al Hasan,0,0,0,135,73,6,6,6,6,16,-,,caught,Yasir Ali Chowdhury,MG Bracewell,field,Bangladesh,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Bangladesh_2022-10-12,New Zealand,Bangladesh,New Zealand,160
98,Shakib Al Hasan,AF Milne,Mosaddek Hossain,0,0,0,135,73,57,37,6,1,17,-,,0,,,field,Bangladesh,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Bangladesh_2022-10-12,New Zealand,Bangladesh,New Zealand,160
99,Shakib Al Hasan,AF Milne,Mosaddek Hossain,1,0,1,136,72,58,38,6,2,17,-,,0,,,field,Bangladesh,2,"Hagley Oval, Christchurch",2022,10,New Zealand_Bangladesh_2022-10-12,New Zealand,Bangladesh,New Zealand,160
