,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,over,replacements,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total,batter_type,non_striker_type,bowler_type
56,HK Matthews,KADA Kanchana,CN Nation,1,0,1,55,,20,20,2,-,1.0,9,,0,,,field,Sri Lanka,1,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",2024,06,West Indies_Sri Lanka_2024-06-24,Sri Lanka,West Indies,Sri Lanka,False,134,Right hand Bat,Right hand Bat,Right arm Fast
57,CN Nation,KADA Kanchana,HK Matthews,1,0,1,56,,2,2,2,-,2.0,9,,0,,,field,Sri Lanka,1,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",2024,06,West Indies_Sri Lanka_2024-06-24,Sri Lanka,West Indies,Sri Lanka,False,134,Right hand Bat,Right hand Bat,Right arm Fast
58,HK Matthews,KADA Kanchana,CN Nation,1,0,1,57,,21,21,2,-,3.0,9,,0,,,field,Sri Lanka,1,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",2024,06,West Indies_Sri Lanka_2024-06-24,Sri Lanka,West Indies,Sri Lanka,False,134,Right hand Bat,Right hand Bat,Right arm Fast
59,CN Nation,KADA Kanchana,HK Matthews,0,0,0,57,,2,3,2,-,4.0,9,,0,,,field,Sri Lanka,1,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",2024,06,West Indies_Sri Lanka_2024-06-24,Sri Lanka,West Indies,Sri Lanka,False,134,Right hand Bat,Right hand Bat,Right arm Fast
60,CN Nation,KADA Kanchana,HK Matthews,2,0,2,59,,4,4,2,-,5.0,9,,0,,,field,Sri Lanka,1,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",2024,06,West Indies_Sri Lanka_2024-06-24,Sri Lanka,West Indies,Sri Lanka,False,134,Right hand Bat,Right hand Bat,Right arm Fast
61,CN Nation,KADA Kanchana,HK Matthews,0,0,0,59,,4,5,2,-,6.0,9,,0,,,field,Sri Lanka,1,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",2024,06,West Indies_Sri Lanka_2024-06-24,Sri Lanka,West Indies,Sri Lanka,False,134,Right hand Bat,Right hand Bat,Right arm Fast
62,HK Matthews,BMSM Kumari,CN Nation,0,0,0,59,,21,22,2,-,1.0,10,,0,,,field,Sri Lanka,1,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",2024,06,West Indies_Sri Lanka_2024-06-24,Sri Lanka,West Indies,Sri Lanka,False,134,Right hand Bat,Right hand Bat,Left arm Orthodox
63,HK Matthews,BMSM Kumari,CN Nation,1,0,1,60,,22,23,2,-,2.0,10,,0,,,field,Sri Lanka,1,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",2024,06,West Indies_Sri Lanka_2024-06-24,Sri Lanka,West Indies,Sri Lanka,False,134,Right hand Bat,Right hand Bat,Left arm Orthodox
64,CN Nation,BMSM Kumari,HK Matthews,0,0,0,60,,4,6,2,-,3.0,10,,0,,,field,Sri Lanka,1,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",2024,06,West Indies_Sri Lanka_2024-06-24,Sri Lanka,West Indies,Sri Lanka,False,134,Right hand Bat,Right hand Bat,Left arm Orthodox
65,CN Nation,BMSM Kumari,HK Matthews,4,0,4,64,,8,7,2,-,4.0,10,,0,,,field,Sri Lanka,1,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",2024,06,West Indies_Sri Lanka_2024-06-24,Sri Lanka,West Indies,Sri Lanka,False,134,Right hand Bat,Right hand Bat,Left arm Orthodox
