,batter,bowler,non_striker,review,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,wicket_type,player_out,fielder,over,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
96,S Dube,Afif Hossain,RR Pant,,0,0,0,102,,1,4,5,-,6.0,caught and bowled,S Dube,,15,field,Bangladesh,1,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,India,Bangladesh,False,148
97,RR Pant,Mustafizur Rahman,KH Pandya,,2,0,2,104,,15,16,5,-,1.0,0,,,16,field,Bangladesh,1,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,India,Bangladesh,False,148
98,RR Pant,Mustafizur Rahman,KH Pandya,,4,0,4,108,,19,17,5,-,2.0,0,,,16,field,Bangladesh,1,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,India,Bangladesh,False,148
99,RR Pant,Mustafizur Rahman,KH Pandya,,0,0,0,108,,19,18,5,-,3.0,0,,,16,field,Bangladesh,1,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,India,Bangladesh,False,148
100,RR Pant,Mustafizur Rahman,KH Pandya,,0,0,0,108,,19,19,5,-,4.0,0,,,16,field,Bangladesh,1,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,India,Bangladesh,False,148
101,RR Pant,Mustafizur Rahman,KH Pandya,,1,0,1,109,,20,20,5,-,5.0,0,,,16,field,Bangladesh,1,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,India,Bangladesh,False,148
102,KH Pandya,Mustafizur Rahman,RR Pant,,1,0,1,110,,1,1,5,-,6.0,0,,,16,field,Bangladesh,1,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,India,Bangladesh,False,148
103,KH Pandya,Al-Amin Hossain,RR Pant,,1,0,1,111,,2,2,5,-,1.0,0,,,17,field,Bangladesh,1,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,India,Bangladesh,False,148
104,RR Pant,Al-Amin Hossain,KH Pandya,,4,0,4,115,,24,21,5,-,2.0,0,,,17,field,Bangladesh,1,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,India,Bangladesh,False,148
105,RR Pant,Al-Amin Hossain,KH Pandya,,0,0,0,115,,24,22,5,-,3.0,0,,,17,field,Bangladesh,1,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,India,Bangladesh,False,148
106,RR Pant,Al-Amin Hossain,KH Pandya,,1,0,1,116,,25,23,5,-,4.0,0,,,17,field,Bangladesh,1,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,India,Bangladesh,False,148
107,KH Pandya,Al-Amin Hossain,RR Pant,,1,0,1,117,,3,3,5,-,5.0,0,,,17,field,Bangladesh,1,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,India,Bangladesh,False,148
108,RR Pant,Al-Amin Hossain,KH Pandya,,0,1,1,118,,25,24,5,legbyes,6.0,0,,,17,field,Bangladesh,1,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,India,Bangladesh,False,148
109,RR Pant,Shafiul Islam,KH Pandya,,2,0,2,120,,27,25,5,-,1.0,0,,,18,field,Bangladesh,1,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,India,Bangladesh,False,148
110,RR Pant,Shafiul Islam,KH Pandya,,0,0,0,120,,27,26,6,-,2.0,caught,RR Pant,Mohammad Naim,18,field,Bangladesh,1,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,India,Bangladesh,False,148
