,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,over,wicket_type,player_out,fielder,replacements,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_final
91,JA Morkel,Harbhajan Singh,JJ van der Wath,6,0,6,92,23,26,16,5,4,-,15,0,,,,bat,South Africa,1,New Wanderers Stadium,2006,12,South Africa_India_2006-12-01,India,South Africa,India,126
92,JA Morkel,Harbhajan Singh,JJ van der Wath,1,0,1,93,22,27,17,5,5,-,15,0,,,,bat,South Africa,1,New Wanderers Stadium,2006,12,South Africa_India_2006-12-01,India,South Africa,India,126
93,JJ van der Wath,Harbhajan Singh,JA Morkel,1,0,1,94,21,4,9,5,6,-,15,0,,,,bat,South Africa,1,New Wanderers Stadium,2006,12,South Africa_India_2006-12-01,India,South Africa,India,126
94,JJ van der Wath,S Sreesanth,JA Morkel,4,0,4,98,17,8,10,5,1,-,16,0,,,,bat,South Africa,1,New Wanderers Stadium,2006,12,South Africa_India_2006-12-01,India,South Africa,India,126
95,JJ van der Wath,S Sreesanth,JA Morkel,2,0,2,100,15,10,11,5,2,-,16,0,,,,bat,South Africa,1,New Wanderers Stadium,2006,12,South Africa_India_2006-12-01,India,South Africa,India,126
96,JJ van der Wath,S Sreesanth,JA Morkel,1,0,1,101,14,11,12,5,3,-,16,0,,,,bat,South Africa,1,New Wanderers Stadium,2006,12,South Africa_India_2006-12-01,India,South Africa,India,126
97,JA Morkel,S Sreesanth,JJ van der Wath,0,0,0,101,14,27,18,6,4,-,16,caught,JA Morkel,D Mongia,,bat,South Africa,1,New Wanderers Stadium,2006,12,South Africa_India_2006-12-01,India,South Africa,India,126
98,JJ van der Wath,S Sreesanth,RJ Peterson,0,0,0,101,14,11,13,6,5,-,16,0,,,,bat,South Africa,1,New Wanderers Stadium,2006,12,South Africa_India_2006-12-01,India,South Africa,India,126
99,JJ van der Wath,S Sreesanth,RJ Peterson,2,0,2,103,12,13,14,6,6,-,16,0,,,,bat,South Africa,1,New Wanderers Stadium,2006,12,South Africa_India_2006-12-01,India,South Africa,India,126
100,RJ Peterson,Harbhajan Singh,JJ van der Wath,0,0,0,103,12,0,1,6,1,-,17,0,,,,bat,South Africa,1,New Wanderers Stadium,2006,12,South Africa_India_2006-12-01,India,South Africa,India,126
