,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,wicket_type,player_out,fielder,over,extra_type,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,team_final
45,TWM Latham,PM Liyanagamage,DJ Mitchell,0,0,0,66,130,27,16,3,4,caught,TWM Latham,MNK Fernando,8,-,,field,New Zealand,2,"Eden Park, Auckland",2023,04,Sri Lanka_New Zealand_2023-04-02,tie,New Zealand,Sri Lanka,196
46,MS Chapman,PM Liyanagamage,DJ Mitchell,4,0,4,70,126,4,1,3,5,0,,,8,-,,field,New Zealand,2,"Eden Park, Auckland",2023,04,Sri Lanka_New Zealand_2023-04-02,tie,New Zealand,Sri Lanka,196
47,MS Chapman,PM Liyanagamage,DJ Mitchell,0,0,0,70,126,4,2,3,6,0,,,8,-,,field,New Zealand,2,"Eden Park, Auckland",2023,04,Sri Lanka_New Zealand_2023-04-02,tie,New Zealand,Sri Lanka,196
48,DJ Mitchell,PWH de Silva,MS Chapman,1,0,1,71,125,38,25,3,1,0,,,9,-,,field,New Zealand,2,"Eden Park, Auckland",2023,04,Sri Lanka_New Zealand_2023-04-02,tie,New Zealand,Sri Lanka,196
49,MS Chapman,PWH de Silva,DJ Mitchell,0,0,0,71,125,4,3,3,2,0,,,9,-,,field,New Zealand,2,"Eden Park, Auckland",2023,04,Sri Lanka_New Zealand_2023-04-02,tie,New Zealand,Sri Lanka,196
50,MS Chapman,PWH de Silva,DJ Mitchell,1,0,1,72,124,5,4,3,3,0,,,9,-,,field,New Zealand,2,"Eden Park, Auckland",2023,04,Sri Lanka_New Zealand_2023-04-02,tie,New Zealand,Sri Lanka,196
51,DJ Mitchell,PWH de Silva,MS Chapman,0,0,0,72,124,38,26,3,4,0,,,9,-,,field,New Zealand,2,"Eden Park, Auckland",2023,04,Sri Lanka_New Zealand_2023-04-02,tie,New Zealand,Sri Lanka,196
52,DJ Mitchell,PWH de Silva,MS Chapman,1,0,1,73,123,39,27,3,5,0,,,9,-,,field,New Zealand,2,"Eden Park, Auckland",2023,04,Sri Lanka_New Zealand_2023-04-02,tie,New Zealand,Sri Lanka,196
53,MS Chapman,PWH de Silva,DJ Mitchell,1,0,1,74,122,6,5,3,6,0,,,9,-,,field,New Zealand,2,"Eden Park, Auckland",2023,04,Sri Lanka_New Zealand_2023-04-02,tie,New Zealand,Sri Lanka,196
54,MS Chapman,C Karunaratne,DJ Mitchell,1,0,1,75,121,7,6,3,1,0,,,10,-,,field,New Zealand,2,"Eden Park, Auckland",2023,04,Sri Lanka_New Zealand_2023-04-02,tie,New Zealand,Sri Lanka,196
55,DJ Mitchell,C Karunaratne,MS Chapman,2,0,2,77,119,41,28,3,2,0,,,10,-,,field,New Zealand,2,"Eden Park, Auckland",2023,04,Sri Lanka_New Zealand_2023-04-02,tie,New Zealand,Sri Lanka,196
56,DJ Mitchell,C Karunaratne,MS Chapman,1,0,1,78,118,42,29,3,3,0,,,10,-,,field,New Zealand,2,"Eden Park, Auckland",2023,04,Sri Lanka_New Zealand_2023-04-02,tie,New Zealand,Sri Lanka,196
57,MS Chapman,C Karunaratne,DJ Mitchell,1,0,1,79,117,8,7,3,4,0,,,10,-,,field,New Zealand,2,"Eden Park, Auckland",2023,04,Sri Lanka_New Zealand_2023-04-02,tie,New Zealand,Sri Lanka,196
58,DJ Mitchell,C Karunaratne,MS Chapman,1,0,1,80,116,43,30,3,5,0,,,10,-,,field,New Zealand,2,"Eden Park, Auckland",2023,04,Sri Lanka_New Zealand_2023-04-02,tie,New Zealand,Sri Lanka,196
59,MS Chapman,C Karunaratne,DJ Mitchell,1,0,1,81,115,9,8,3,6,0,,,10,-,,field,New Zealand,2,"Eden Park, Auckland",2023,04,Sri Lanka_New Zealand_2023-04-02,tie,New Zealand,Sri Lanka,196
60,MS Chapman,PWH de Silva,DJ Mitchell,0,0,0,81,115,9,9,3,1,0,,,11,-,,field,New Zealand,2,"Eden Park, Auckland",2023,04,Sri Lanka_New Zealand_2023-04-02,tie,New Zealand,Sri Lanka,196
