,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,wicket_type,player_out,fielder,extra_type,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_final
101,BA King,Tilak Varma,SD Hope,4,0,4,153,12,76,49,2,3,17,0,,,-,,bat,India,2,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2023,08,India_West Indies_2023-08-13,West Indies,West Indies,India,171
102,BA King,Tilak Varma,SD Hope,6,0,6,159,6,82,50,2,4,17,0,,,-,,bat,India,2,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2023,08,India_West Indies_2023-08-13,West Indies,West Indies,India,171
103,BA King,Tilak Varma,SD Hope,0,0,0,159,6,82,51,2,5,17,0,,,-,,bat,India,2,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2023,08,India_West Indies_2023-08-13,West Indies,West Indies,India,171
104,BA King,Tilak Varma,SD Hope,1,0,1,160,5,83,52,2,6,17,0,,,-,,bat,India,2,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2023,08,India_West Indies_2023-08-13,West Indies,West Indies,India,171
105,BA King,YBK Jaiswal,SD Hope,1,0,1,161,4,84,53,2,1,18,0,,,-,,bat,India,2,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2023,08,India_West Indies_2023-08-13,West Indies,West Indies,India,171
106,SD Hope,YBK Jaiswal,BA King,2,0,2,163,2,15,11,2,2,18,0,,,-,,bat,India,2,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2023,08,India_West Indies_2023-08-13,West Indies,West Indies,India,171
107,SD Hope,YBK Jaiswal,BA King,1,0,1,164,1,16,12,2,3,18,0,,,-,,bat,India,2,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2023,08,India_West Indies_2023-08-13,West Indies,West Indies,India,171
108,BA King,YBK Jaiswal,SD Hope,0,0,0,164,1,84,54,2,4,18,0,,,-,,bat,India,2,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2023,08,India_West Indies_2023-08-13,West Indies,West Indies,India,171
109,BA King,YBK Jaiswal,SD Hope,1,0,1,165,0,85,55,2,5,18,0,,,-,,bat,India,2,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2023,08,India_West Indies_2023-08-13,West Indies,West Indies,India,171
110,SD Hope,YBK Jaiswal,BA King,6,0,6,171,-6,22,13,2,6,18,0,,,-,,bat,India,2,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2023,08,India_West Indies_2023-08-13,West Indies,West Indies,India,171
