,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,wicket_type,player_out,fielder,over,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total,batter_type,non_striker_type,bowler_type
67,PWH de Silva,Noor Ahmad,S Samarawickrama,4,0,4,92,,29,16,4,-,6.0,0,,,10,,field,Afghanistan,1,Rangiri Dambulla International Stadium,2024,02,Sri Lanka_Afghanistan_2024-02-17,Sri Lanka,Sri Lanka,Afghanistan,True,160,Right hand Bat,Right hand Bat,Left arm Wrist spin
68,S Samarawickrama,Qais Ahmad,PWH de Silva,4,0,4,96,,19,15,4,-,1.0,0,,,11,,field,Afghanistan,1,Rangiri Dambulla International Stadium,2024,02,Sri Lanka_Afghanistan_2024-02-17,Sri Lanka,Sri Lanka,Afghanistan,True,160,Right hand Bat,Right hand Bat,Right arm Legbreak
69,S Samarawickrama,Qais Ahmad,PWH de Silva,1,0,1,97,,20,16,4,-,2.0,0,,,11,,field,Afghanistan,1,Rangiri Dambulla International Stadium,2024,02,Sri Lanka_Afghanistan_2024-02-17,Sri Lanka,Sri Lanka,Afghanistan,True,160,Right hand Bat,Right hand Bat,Right arm Legbreak
70,PWH de Silva,Qais Ahmad,S Samarawickrama,1,0,1,98,,30,17,4,-,3.0,0,,,11,,field,Afghanistan,1,Rangiri Dambulla International Stadium,2024,02,Sri Lanka_Afghanistan_2024-02-17,Sri Lanka,Sri Lanka,Afghanistan,True,160,Right hand Bat,Right hand Bat,Right arm Legbreak
71,S Samarawickrama,Qais Ahmad,PWH de Silva,1,0,1,99,,21,17,4,-,4.0,0,,,11,,field,Afghanistan,1,Rangiri Dambulla International Stadium,2024,02,Sri Lanka_Afghanistan_2024-02-17,Sri Lanka,Sri Lanka,Afghanistan,True,160,Right hand Bat,Right hand Bat,Right arm Legbreak
72,PWH de Silva,Qais Ahmad,S Samarawickrama,1,0,1,100,,31,18,4,-,5.0,0,,,11,,field,Afghanistan,1,Rangiri Dambulla International Stadium,2024,02,Sri Lanka_Afghanistan_2024-02-17,Sri Lanka,Sri Lanka,Afghanistan,True,160,Right hand Bat,Right hand Bat,Right arm Legbreak
73,S Samarawickrama,Qais Ahmad,PWH de Silva,1,0,1,101,,22,18,4,-,6.0,0,,,11,,field,Afghanistan,1,Rangiri Dambulla International Stadium,2024,02,Sri Lanka_Afghanistan_2024-02-17,Sri Lanka,Sri Lanka,Afghanistan,True,160,Right hand Bat,Right hand Bat,Right arm Legbreak
74,S Samarawickrama,Karim Janat,PWH de Silva,0,0,0,101,,22,19,4,-,1.0,0,,,12,,field,Afghanistan,1,Rangiri Dambulla International Stadium,2024,02,Sri Lanka_Afghanistan_2024-02-17,Sri Lanka,Sri Lanka,Afghanistan,True,160,Right hand Bat,Right hand Bat,Right arm Medium
75,S Samarawickrama,Karim Janat,PWH de Silva,0,0,0,101,,22,20,4,-,2.0,0,,,12,,field,Afghanistan,1,Rangiri Dambulla International Stadium,2024,02,Sri Lanka_Afghanistan_2024-02-17,Sri Lanka,Sri Lanka,Afghanistan,True,160,Right hand Bat,Right hand Bat,Right arm Medium
76,S Samarawickrama,Karim Janat,PWH de Silva,1,0,1,102,,23,21,4,-,3.0,0,,,12,,field,Afghanistan,1,Rangiri Dambulla International Stadium,2024,02,Sri Lanka_Afghanistan_2024-02-17,Sri Lanka,Sri Lanka,Afghanistan,True,160,Right hand Bat,Right hand Bat,Right arm Medium
