,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,over,review,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
97,Asif Ali,DJM Short,Shoaib Malik,0,0,0,106,,0,1,3,5,-,15,,0,,,bat,Pakistan,1,Dubai International Cricket Stadium,2018,10,Pakistan_Australia_2018-10-26,Pakistan,Pakistan,Australia,True,147
98,Asif Ali,DJM Short,Shoaib Malik,1,0,1,107,,1,2,3,6,-,15,,0,,,bat,Pakistan,1,Dubai International Cricket Stadium,2018,10,Pakistan_Australia_2018-10-26,Pakistan,Pakistan,Australia,True,147
99,Asif Ali,B Stanlake,Shoaib Malik,1,0,1,108,,2,3,3,1,-,16,,0,,,bat,Pakistan,1,Dubai International Cricket Stadium,2018,10,Pakistan_Australia_2018-10-26,Pakistan,Pakistan,Australia,True,147
100,Shoaib Malik,B Stanlake,Asif Ali,1,0,1,109,,4,5,3,2,-,16,,0,,,bat,Pakistan,1,Dubai International Cricket Stadium,2018,10,Pakistan_Australia_2018-10-26,Pakistan,Pakistan,Australia,True,147
101,Asif Ali,B Stanlake,Shoaib Malik,6,0,6,115,,8,4,3,3,-,16,,0,,,bat,Pakistan,1,Dubai International Cricket Stadium,2018,10,Pakistan_Australia_2018-10-26,Pakistan,Pakistan,Australia,True,147
102,Asif Ali,B Stanlake,Shoaib Malik,1,0,1,116,,9,5,3,4,-,16,,0,,,bat,Pakistan,1,Dubai International Cricket Stadium,2018,10,Pakistan_Australia_2018-10-26,Pakistan,Pakistan,Australia,True,147
103,Shoaib Malik,B Stanlake,Asif Ali,1,0,1,117,,5,6,3,5,-,16,,0,,,bat,Pakistan,1,Dubai International Cricket Stadium,2018,10,Pakistan_Australia_2018-10-26,Pakistan,Pakistan,Australia,True,147
104,Asif Ali,B Stanlake,Shoaib Malik,0,0,0,117,,9,6,4,6,-,16,,caught,Asif Ali,DJM Short,bat,Pakistan,1,Dubai International Cricket Stadium,2018,10,Pakistan_Australia_2018-10-26,Pakistan,Pakistan,Australia,True,147
105,Shoaib Malik,AJ Tye,Faheem Ashraf,4,0,4,121,,9,7,4,1,-,17,,0,,,bat,Pakistan,1,Dubai International Cricket Stadium,2018,10,Pakistan_Australia_2018-10-26,Pakistan,Pakistan,Australia,True,147
106,Shoaib Malik,AJ Tye,Faheem Ashraf,1,0,1,122,,10,8,4,2,-,17,,0,,,bat,Pakistan,1,Dubai International Cricket Stadium,2018,10,Pakistan_Australia_2018-10-26,Pakistan,Pakistan,Australia,True,147
107,Faheem Ashraf,AJ Tye,Shoaib Malik,1,0,1,123,,1,1,4,3,-,17,,0,,,bat,Pakistan,1,Dubai International Cricket Stadium,2018,10,Pakistan_Australia_2018-10-26,Pakistan,Pakistan,Australia,True,147
108,Shoaib Malik,AJ Tye,Faheem Ashraf,1,0,1,124,,11,9,4,4,-,17,,0,,,bat,Pakistan,1,Dubai International Cricket Stadium,2018,10,Pakistan_Australia_2018-10-26,Pakistan,Pakistan,Australia,True,147
