,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,extra_type,wicket_type,player_out,fielder,over,toss_decision,toss_winner,innings,venue,date,winning_team,batting_team,bowling_team
109,MEK Hussey,JE Taylor,DJ Hussey,1,0,1,132,8,9,7,-,0,,,17,bat,Australia,1,Kennington Oval,2009-06-06,West Indies,Australia,West Indies
110,MEK Hussey,DJ Bravo,DJ Hussey,0,4,4,136,8,10,1,legbyes,0,,,18,bat,Australia,1,Kennington Oval,2009-06-06,West Indies,Australia,West Indies
111,MEK Hussey,DJ Bravo,DJ Hussey,4,0,4,140,12,11,2,-,0,,,18,bat,Australia,1,Kennington Oval,2009-06-06,West Indies,Australia,West Indies
112,MEK Hussey,DJ Bravo,DJ Hussey,1,0,1,141,13,12,3,-,0,,,18,bat,Australia,1,Kennington Oval,2009-06-06,West Indies,Australia,West Indies
113,DJ Hussey,DJ Bravo,MEK Hussey,2,0,2,143,27,15,4,-,0,,,18,bat,Australia,1,Kennington Oval,2009-06-06,West Indies,Australia,West Indies
114,DJ Hussey,DJ Bravo,MEK Hussey,0,0,0,143,27,16,5,-,caught,DJ Hussey,ADS Fletcher,18,bat,Australia,1,Kennington Oval,2009-06-06,West Indies,Australia,West Indies
115,MG Johnson,DJ Bravo,MEK Hussey,1,0,1,144,1,1,6,-,0,,,18,bat,Australia,1,Kennington Oval,2009-06-06,West Indies,Australia,West Indies
116,MG Johnson,JE Taylor,MEK Hussey,1,0,1,145,2,2,1,-,0,,,19,bat,Australia,1,Kennington Oval,2009-06-06,West Indies,Australia,West Indies
117,MEK Hussey,JE Taylor,MG Johnson,1,0,1,146,14,13,2,-,0,,,19,bat,Australia,1,Kennington Oval,2009-06-06,West Indies,Australia,West Indies
118,MG Johnson,JE Taylor,MEK Hussey,2,0,2,148,4,3,3,-,0,,,19,bat,Australia,1,Kennington Oval,2009-06-06,West Indies,Australia,West Indies
119,MG Johnson,JE Taylor,MEK Hussey,0,0,0,148,4,4,4,-,0,,,19,bat,Australia,1,Kennington Oval,2009-06-06,West Indies,Australia,West Indies
120,MG Johnson,JE Taylor,MEK Hussey,4,0,4,152,8,5,5,-,0,,,19,bat,Australia,1,Kennington Oval,2009-06-06,West Indies,Australia,West Indies
121,MG Johnson,JE Taylor,MEK Hussey,1,0,1,153,9,6,6,-,0,,,19,bat,Australia,1,Kennington Oval,2009-06-06,West Indies,Australia,West Indies
122,MG Johnson,FH Edwards,MEK Hussey,0,0,0,153,9,7,1,-,caught,MG Johnson,DJ Bravo,20,bat,Australia,1,Kennington Oval,2009-06-06,West Indies,Australia,West Indies
123,MEK Hussey,FH Edwards,B Lee,1,0,1,154,15,14,2,-,0,,,20,bat,Australia,1,Kennington Oval,2009-06-06,West Indies,Australia,West Indies
124,B Lee,FH Edwards,MEK Hussey,1,0,1,155,1,1,3,-,0,,,20,bat,Australia,1,Kennington Oval,2009-06-06,West Indies,Australia,West Indies
125,MEK Hussey,FH Edwards,B Lee,2,0,2,157,17,15,4,-,0,,,20,bat,Australia,1,Kennington Oval,2009-06-06,West Indies,Australia,West Indies
126,MEK Hussey,FH Edwards,B Lee,6,1,7,164,23,16,5,noballs,0,,,20,bat,Australia,1,Kennington Oval,2009-06-06,West Indies,Australia,West Indies
127,MEK Hussey,FH Edwards,B Lee,4,0,4,168,27,17,6,-,0,,,20,bat,Australia,1,Kennington Oval,2009-06-06,West Indies,Australia,West Indies
128,MEK Hussey,FH Edwards,B Lee,1,0,1,169,28,18,7,-,0,,,20,bat,Australia,1,Kennington Oval,2009-06-06,West Indies,Australia,West Indies
