,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,over,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total,batter_type,non_striker_type,bowler_type
61,Mahmudullah,E Chigumbura,Nurul Hasan,2,0,2,84,96,40,25,5,-,6.0,9,0,,,bat,Zimbabwe,2,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-22,Zimbabwe,Bangladesh,Zimbabwe,False,162,Right hand Bat,Right hand Bat,Right arm Fast
62,Nurul Hasan,AG Cremer,Mahmudullah,2,0,2,86,94,9,6,5,-,1.0,10,0,,,bat,Zimbabwe,2,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-22,Zimbabwe,Bangladesh,Zimbabwe,False,162,Right hand Bat,Right hand Bat,Right arm Legbreak
63,Nurul Hasan,AG Cremer,Mahmudullah,1,0,1,87,93,10,7,5,-,2.0,10,0,,,bat,Zimbabwe,2,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-22,Zimbabwe,Bangladesh,Zimbabwe,False,162,Right hand Bat,Right hand Bat,Right arm Legbreak
64,Mahmudullah,AG Cremer,Nurul Hasan,1,0,1,88,92,41,26,5,-,3.0,10,0,,,bat,Zimbabwe,2,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-22,Zimbabwe,Bangladesh,Zimbabwe,False,162,Right hand Bat,Right hand Bat,Right arm Legbreak
65,Nurul Hasan,AG Cremer,Mahmudullah,0,0,0,88,92,10,8,5,-,4.0,10,0,,,bat,Zimbabwe,2,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-22,Zimbabwe,Bangladesh,Zimbabwe,False,162,Right hand Bat,Right hand Bat,Right arm Legbreak
66,Nurul Hasan,AG Cremer,Mahmudullah,1,0,1,89,91,11,9,5,-,5.0,10,0,,,bat,Zimbabwe,2,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-22,Zimbabwe,Bangladesh,Zimbabwe,False,162,Right hand Bat,Right hand Bat,Right arm Legbreak
67,Mahmudullah,AG Cremer,Nurul Hasan,1,0,1,90,90,42,27,5,-,6.0,10,0,,,bat,Zimbabwe,2,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-22,Zimbabwe,Bangladesh,Zimbabwe,False,162,Right hand Bat,Right hand Bat,Right arm Legbreak
68,Mahmudullah,Sikandar Raza,Nurul Hasan,2,0,2,92,88,44,28,5,-,1.0,11,0,,,bat,Zimbabwe,2,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-22,Zimbabwe,Bangladesh,Zimbabwe,False,162,Right hand Bat,Right hand Bat,Right arm Offbreak
69,Mahmudullah,Sikandar Raza,Nurul Hasan,0,3,3,95,85,44,28,5,wides,1.0,11,0,,,bat,Zimbabwe,2,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-22,Zimbabwe,Bangladesh,Zimbabwe,False,162,Right hand Bat,Right hand Bat,Right arm Offbreak
70,Mahmudullah,Sikandar Raza,Nurul Hasan,1,0,1,96,84,45,29,5,-,2.0,11,0,,,bat,Zimbabwe,2,Sheikh Abu Naser Stadium,2016,01,Bangladesh_Zimbabwe_2016-01-22,Zimbabwe,Bangladesh,Zimbabwe,False,162,Right hand Bat,Right hand Bat,Right arm Offbreak
