,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,wicket_type,player_out,fielder,over,review,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team
107,PJ van Biljon,CJ Jordan,HE van der Dussen,1,0,1,149,-8,1,1,4,2,0,,,18,,-,field,England,1,Newlands,2020,11,South Africa_England_2020-11-27,England,South Africa,England
108,HE van der Dussen,CJ Jordan,PJ van Biljon,0,1,1,150,-9,29,27,4,3,0,,,18,,wides,field,England,1,Newlands,2020,11,South Africa_England_2020-11-27,England,South Africa,England
109,HE van der Dussen,CJ Jordan,PJ van Biljon,0,0,0,150,-9,29,28,4,4,0,,,18,,-,field,England,1,Newlands,2020,11,South Africa_England_2020-11-27,England,South Africa,England
110,HE van der Dussen,CJ Jordan,PJ van Biljon,6,0,6,156,-15,35,29,4,5,0,,,18,,-,field,England,1,Newlands,2020,11,South Africa_England_2020-11-27,England,South Africa,England
111,HE van der Dussen,CJ Jordan,PJ van Biljon,1,0,1,157,-16,36,30,4,6,0,,,18,,-,field,England,1,Newlands,2020,11,South Africa_England_2020-11-27,England,South Africa,England
112,PJ van Biljon,CJ Jordan,HE van der Dussen,1,0,1,158,-17,2,2,4,7,0,,,18,,-,field,England,1,Newlands,2020,11,South Africa_England_2020-11-27,England,South Africa,England
113,PJ van Biljon,JC Archer,HE van der Dussen,1,0,1,159,-18,3,3,4,1,0,,,19,,-,field,England,1,Newlands,2020,11,South Africa_England_2020-11-27,England,South Africa,England
114,HE van der Dussen,JC Archer,PJ van Biljon,1,0,1,160,-19,37,31,4,2,0,,,19,,-,field,England,1,Newlands,2020,11,South Africa_England_2020-11-27,England,South Africa,England
115,PJ van Biljon,JC Archer,HE van der Dussen,1,0,1,161,-20,4,4,4,3,0,,,19,,-,field,England,1,Newlands,2020,11,South Africa_England_2020-11-27,England,South Africa,England
116,HE van der Dussen,JC Archer,PJ van Biljon,0,0,0,161,-20,37,32,5,4,caught,HE van der Dussen,DJ Malan,19,,-,field,England,1,Newlands,2020,11,South Africa_England_2020-11-27,England,South Africa,England
117,PJ van Biljon,JC Archer,GF Linde,1,0,1,162,-21,5,5,5,5,0,,,19,,-,field,England,1,Newlands,2020,11,South Africa_England_2020-11-27,England,South Africa,England
118,GF Linde,JC Archer,PJ van Biljon,1,0,1,163,-22,1,1,5,6,0,,,19,,-,field,England,1,Newlands,2020,11,South Africa_England_2020-11-27,England,South Africa,England
119,GF Linde,TK Curran,PJ van Biljon,0,1,1,164,-23,1,2,5,1,0,,,20,,wides,field,England,1,Newlands,2020,11,South Africa_England_2020-11-27,England,South Africa,England
120,GF Linde,TK Curran,PJ van Biljon,4,0,4,168,-27,5,3,5,2,0,,,20,,-,field,England,1,Newlands,2020,11,South Africa_England_2020-11-27,England,South Africa,England
121,GF Linde,TK Curran,PJ van Biljon,1,0,1,169,-28,6,4,5,3,0,,,20,,-,field,England,1,Newlands,2020,11,South Africa_England_2020-11-27,England,South Africa,England
122,PJ van Biljon,TK Curran,GF Linde,2,0,2,171,-30,7,6,5,4,0,,,20,,-,field,England,1,Newlands,2020,11,South Africa_England_2020-11-27,England,South Africa,England
123,PJ van Biljon,TK Curran,GF Linde,0,2,2,173,-32,7,7,5,5,0,,,20,,wides,field,England,1,Newlands,2020,11,South Africa_England_2020-11-27,England,South Africa,England
124,GF Linde,TK Curran,PJ van Biljon,6,0,6,179,-38,12,5,5,6,0,,,20,,-,field,England,1,Newlands,2020,11,South Africa_England_2020-11-27,England,South Africa,England
125,GF Linde,TK Curran,PJ van Biljon,0,0,0,179,-38,12,6,5,7,0,,,20,,-,field,England,1,Newlands,2020,11,South Africa_England_2020-11-27,England,South Africa,England
126,GF Linde,TK Curran,PJ van Biljon,0,0,0,179,-38,12,7,6,8,bowled,GF Linde,,20,,-,field,England,1,Newlands,2020,11,South Africa_England_2020-11-27,England,South Africa,England
