,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,wicket_type,player_out,fielder,review,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
54,DJ Mitchell,DJ Hooda,MS Chapman,0,0,0,43,,5,8,3,5,8,0,,,,-,bat,New Zealand,1,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023,01,New Zealand_India_2023-01-29,India,New Zealand,India,False,99
55,DJ Mitchell,DJ Hooda,MS Chapman,2,0,2,45,,7,9,3,6,8,0,,,,-,bat,New Zealand,1,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023,01,New Zealand_India_2023-01-29,India,New Zealand,India,False,99
56,MS Chapman,Kuldeep Yadav,DJ Mitchell,1,0,1,46,,6,12,3,1,9,0,,,,-,bat,New Zealand,1,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023,01,New Zealand_India_2023-01-29,India,New Zealand,India,False,99
57,DJ Mitchell,Kuldeep Yadav,MS Chapman,1,0,1,47,,8,10,3,2,9,0,,,,-,bat,New Zealand,1,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023,01,New Zealand_India_2023-01-29,India,New Zealand,India,False,99
58,MS Chapman,Kuldeep Yadav,DJ Mitchell,1,0,1,48,,7,13,3,3,9,0,,,,-,bat,New Zealand,1,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023,01,New Zealand_India_2023-01-29,India,New Zealand,India,False,99
59,DJ Mitchell,Kuldeep Yadav,MS Chapman,0,0,0,48,,8,11,3,4,9,0,,,,-,bat,New Zealand,1,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023,01,New Zealand_India_2023-01-29,India,New Zealand,India,False,99
60,DJ Mitchell,Kuldeep Yadav,MS Chapman,0,0,0,48,,8,12,3,5,9,0,,,,-,bat,New Zealand,1,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023,01,New Zealand_India_2023-01-29,India,New Zealand,India,False,99
61,DJ Mitchell,Kuldeep Yadav,MS Chapman,0,0,0,48,,8,13,4,6,9,bowled,DJ Mitchell,,,-,bat,New Zealand,1,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023,01,New Zealand_India_2023-01-29,India,New Zealand,India,False,99
62,MS Chapman,DJ Hooda,MG Bracewell,1,0,1,49,,8,14,4,1,10,0,,,,-,bat,New Zealand,1,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023,01,New Zealand_India_2023-01-29,India,New Zealand,India,False,99
63,MG Bracewell,DJ Hooda,MS Chapman,1,0,1,50,,1,1,4,2,10,0,,,,-,bat,New Zealand,1,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023,01,New Zealand_India_2023-01-29,India,New Zealand,India,False,99
64,MS Chapman,DJ Hooda,MG Bracewell,2,0,2,52,,10,15,4,3,10,0,,,,-,bat,New Zealand,1,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023,01,New Zealand_India_2023-01-29,India,New Zealand,India,False,99
65,MS Chapman,DJ Hooda,MG Bracewell,1,0,1,53,,11,16,4,4,10,0,,,,-,bat,New Zealand,1,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023,01,New Zealand_India_2023-01-29,India,New Zealand,India,False,99
66,MG Bracewell,DJ Hooda,MS Chapman,0,0,0,53,,1,2,4,5,10,0,,,,-,bat,New Zealand,1,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023,01,New Zealand_India_2023-01-29,India,New Zealand,India,False,99
67,MG Bracewell,DJ Hooda,MS Chapman,1,0,1,54,,2,3,4,6,10,0,,,,-,bat,New Zealand,1,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023,01,New Zealand_India_2023-01-29,India,New Zealand,India,False,99
68,MG Bracewell,Kuldeep Yadav,MS Chapman,1,0,1,55,,3,4,4,1,11,0,,,,-,bat,New Zealand,1,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023,01,New Zealand_India_2023-01-29,India,New Zealand,India,False,99
69,MS Chapman,Kuldeep Yadav,MG Bracewell,1,0,1,56,,12,17,4,2,11,0,,,,-,bat,New Zealand,1,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023,01,New Zealand_India_2023-01-29,India,New Zealand,India,False,99
70,MG Bracewell,Kuldeep Yadav,MS Chapman,0,0,0,56,,3,5,4,3,11,0,,,,-,bat,New Zealand,1,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023,01,New Zealand_India_2023-01-29,India,New Zealand,India,False,99
71,MG Bracewell,Kuldeep Yadav,MS Chapman,1,0,1,57,,4,6,4,4,11,0,,,,-,bat,New Zealand,1,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023,01,New Zealand_India_2023-01-29,India,New Zealand,India,False,99
72,MS Chapman,Kuldeep Yadav,MG Bracewell,1,0,1,58,,13,18,4,5,11,0,,,,-,bat,New Zealand,1,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023,01,New Zealand_India_2023-01-29,India,New Zealand,India,False,99
73,MG Bracewell,Kuldeep Yadav,MS Chapman,0,0,0,58,,4,7,4,6,11,0,,,,-,bat,New Zealand,1,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023,01,New Zealand_India_2023-01-29,India,New Zealand,India,False,99
74,MS Chapman,DJ Hooda,MG Bracewell,1,0,1,59,,14,19,4,1,12,0,,,,-,bat,New Zealand,1,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023,01,New Zealand_India_2023-01-29,India,New Zealand,India,False,99
75,MG Bracewell,DJ Hooda,MS Chapman,1,0,1,60,,5,8,4,2,12,0,,,,-,bat,New Zealand,1,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023,01,New Zealand_India_2023-01-29,India,New Zealand,India,False,99
76,MS Chapman,DJ Hooda,MG Bracewell,0,0,0,60,,14,20,4,3,12,0,,,,-,bat,New Zealand,1,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023,01,New Zealand_India_2023-01-29,India,New Zealand,India,False,99
77,MS Chapman,DJ Hooda,MG Bracewell,0,0,0,60,,14,21,5,4,12,run out,MS Chapman,Ishan Kishan;Kuldeep Yadav,,-,bat,New Zealand,1,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023,01,New Zealand_India_2023-01-29,India,New Zealand,India,False,99
78,MJ Santner,DJ Hooda,MG Bracewell,1,0,1,61,,1,1,5,5,12,0,,,,-,bat,New Zealand,1,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023,01,New Zealand_India_2023-01-29,India,New Zealand,India,False,99
79,MG Bracewell,DJ Hooda,MJ Santner,1,0,1,62,,6,9,5,6,12,0,,,,-,bat,New Zealand,1,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023,01,New Zealand_India_2023-01-29,India,New Zealand,India,False,99
80,MG Bracewell,Washington Sundar,MJ Santner,0,0,0,62,,6,10,5,1,13,0,,,,-,bat,New Zealand,1,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023,01,New Zealand_India_2023-01-29,India,New Zealand,India,False,99
81,MG Bracewell,Washington Sundar,MJ Santner,1,0,1,63,,7,11,5,2,13,0,,,,-,bat,New Zealand,1,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023,01,New Zealand_India_2023-01-29,India,New Zealand,India,False,99
82,MJ Santner,Washington Sundar,MG Bracewell,4,0,4,67,,5,2,5,3,13,0,,,,-,bat,New Zealand,1,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023,01,New Zealand_India_2023-01-29,India,New Zealand,India,False,99
83,MJ Santner,Washington Sundar,MG Bracewell,0,0,0,67,,5,3,5,4,13,0,,,,-,bat,New Zealand,1,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023,01,New Zealand_India_2023-01-29,India,New Zealand,India,False,99
84,MJ Santner,Washington Sundar,MG Bracewell,0,0,0,67,,5,4,5,5,13,0,,,,-,bat,New Zealand,1,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023,01,New Zealand_India_2023-01-29,India,New Zealand,India,False,99
85,MJ Santner,Washington Sundar,MG Bracewell,0,0,0,67,,5,5,5,6,13,0,,,,-,bat,New Zealand,1,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023,01,New Zealand_India_2023-01-29,India,New Zealand,India,False,99
86,MG Bracewell,HH Pandya,MJ Santner,0,1,1,68,,7,12,5,1,14,0,,,,wides,bat,New Zealand,1,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023,01,New Zealand_India_2023-01-29,India,New Zealand,India,False,99
87,MG Bracewell,HH Pandya,MJ Santner,0,0,0,68,,7,13,5,2,14,0,,,,-,bat,New Zealand,1,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023,01,New Zealand_India_2023-01-29,India,New Zealand,India,False,99
88,MG Bracewell,HH Pandya,MJ Santner,0,0,0,68,,7,14,5,3,14,0,,,,-,bat,New Zealand,1,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023,01,New Zealand_India_2023-01-29,India,New Zealand,India,False,99
89,MG Bracewell,HH Pandya,MJ Santner,1,0,1,69,,8,15,5,4,14,0,,,,-,bat,New Zealand,1,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023,01,New Zealand_India_2023-01-29,India,New Zealand,India,False,99
90,MJ Santner,HH Pandya,MG Bracewell,1,0,1,70,,6,6,5,5,14,0,,,,-,bat,New Zealand,1,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023,01,New Zealand_India_2023-01-29,India,New Zealand,India,False,99
