,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,over,review,wicket_type,player_out,fielder,replacements,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total,batter_type,non_striker_type,bowler_type
64,Nazmul Hossain Shanto,B Fernando,Towhid Hridoy,1,0,1,86,79,12,15,2,-,6.0,9,,0,,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-06,Bangladesh,Bangladesh,Sri Lanka,True,170,Left hand Bat,Right hand Bat,Left arm Medium
65,Nazmul Hossain Shanto,M Pathirana,Towhid Hridoy,1,0,1,87,78,13,16,2,-,1.0,10,,0,,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-06,Bangladesh,Bangladesh,Sri Lanka,True,170,Left hand Bat,Right hand Bat,Right arm Fast
66,Towhid Hridoy,M Pathirana,Nazmul Hossain Shanto,0,4,4,91,74,1,2,2,byes,2.0,10,,0,,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-06,Bangladesh,Bangladesh,Sri Lanka,True,170,Right hand Bat,Left hand Bat,Right arm Fast
67,Towhid Hridoy,M Pathirana,Nazmul Hossain Shanto,1,0,1,92,73,2,3,2,-,3.0,10,,0,,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-06,Bangladesh,Bangladesh,Sri Lanka,True,170,Right hand Bat,Left hand Bat,Right arm Fast
68,Nazmul Hossain Shanto,M Pathirana,Towhid Hridoy,4,0,4,96,69,17,17,2,-,4.0,10,,0,,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-06,Bangladesh,Bangladesh,Sri Lanka,True,170,Left hand Bat,Right hand Bat,Right arm Fast
69,Nazmul Hossain Shanto,M Pathirana,Towhid Hridoy,1,0,1,97,68,18,18,2,-,5.0,10,,0,,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-06,Bangladesh,Bangladesh,Sri Lanka,True,170,Left hand Bat,Right hand Bat,Right arm Fast
70,Towhid Hridoy,M Pathirana,Nazmul Hossain Shanto,0,0,0,97,68,2,4,2,-,6.0,10,,0,,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-06,Bangladesh,Bangladesh,Sri Lanka,True,170,Right hand Bat,Left hand Bat,Right arm Fast
71,Nazmul Hossain Shanto,D Madushanka,Towhid Hridoy,1,0,1,98,67,19,19,2,-,1.0,11,,0,,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-06,Bangladesh,Bangladesh,Sri Lanka,True,170,Left hand Bat,Right hand Bat,Left arm Fast
72,Towhid Hridoy,D Madushanka,Nazmul Hossain Shanto,1,0,1,99,66,3,5,2,-,2.0,11,,0,,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-06,Bangladesh,Bangladesh,Sri Lanka,True,170,Right hand Bat,Left hand Bat,Left arm Fast
73,Nazmul Hossain Shanto,D Madushanka,Towhid Hridoy,0,0,0,99,66,19,20,2,-,3.0,11,,0,,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-06,Bangladesh,Bangladesh,Sri Lanka,True,170,Left hand Bat,Right hand Bat,Left arm Fast
74,Nazmul Hossain Shanto,D Madushanka,Towhid Hridoy,1,0,1,100,65,20,21,2,-,4.0,11,,0,,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-06,Bangladesh,Bangladesh,Sri Lanka,True,170,Left hand Bat,Right hand Bat,Left arm Fast
