,batter,bowler,non_striker,extras,replacements,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,extra_type,over,wicket_type,player_out,fielder,review,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
80,MP Stoinis,C Karunaratne,AJ Finch,,,4,0,4,97,7,3,6,-,13,0,,,,field,Australia,2,Perth Stadium,2022-10-25,Australia,Sri Lanka
81,AJ Finch,MD Shanaka,MP Stoinis,,,0,0,0,97,25,40,1,-,14,0,,,,field,Australia,2,Perth Stadium,2022-10-25,Australia,Sri Lanka
82,AJ Finch,MD Shanaka,MP Stoinis,,,1,0,1,98,26,41,2,-,14,0,,,,field,Australia,2,Perth Stadium,2022-10-25,Australia,Sri Lanka
83,MP Stoinis,MD Shanaka,AJ Finch,,,0,0,0,98,7,4,3,-,14,0,,,,field,Australia,2,Perth Stadium,2022-10-25,Australia,Sri Lanka
84,MP Stoinis,MD Shanaka,AJ Finch,,,4,0,4,102,11,5,4,-,14,0,,,,field,Australia,2,Perth Stadium,2022-10-25,Australia,Sri Lanka
85,MP Stoinis,MD Shanaka,AJ Finch,,,4,0,4,106,15,6,5,-,14,0,,,,field,Australia,2,Perth Stadium,2022-10-25,Australia,Sri Lanka
86,MP Stoinis,MD Shanaka,AJ Finch,,,1,0,1,107,16,7,6,-,14,0,,,,field,Australia,2,Perth Stadium,2022-10-25,Australia,Sri Lanka
87,MP Stoinis,PWH de Silva,AJ Finch,,,1,0,1,108,17,8,1,-,15,0,,,,field,Australia,2,Perth Stadium,2022-10-25,Australia,Sri Lanka
88,AJ Finch,PWH de Silva,MP Stoinis,,,1,0,1,109,27,42,2,-,15,0,,,,field,Australia,2,Perth Stadium,2022-10-25,Australia,Sri Lanka
89,MP Stoinis,PWH de Silva,AJ Finch,,,6,0,6,115,23,9,3,-,15,0,,,,field,Australia,2,Perth Stadium,2022-10-25,Australia,Sri Lanka
90,MP Stoinis,PWH de Silva,AJ Finch,,,4,0,4,119,27,10,4,-,15,0,,,,field,Australia,2,Perth Stadium,2022-10-25,Australia,Sri Lanka
91,MP Stoinis,PWH de Silva,AJ Finch,,,6,0,6,125,33,11,5,-,15,0,,,,field,Australia,2,Perth Stadium,2022-10-25,Australia,Sri Lanka
92,MP Stoinis,PWH de Silva,AJ Finch,,,1,0,1,126,34,12,6,-,15,0,,,,field,Australia,2,Perth Stadium,2022-10-25,Australia,Sri Lanka
93,MP Stoinis,M Theekshana,AJ Finch,,,0,0,0,126,34,13,1,-,16,0,,,,field,Australia,2,Perth Stadium,2022-10-25,Australia,Sri Lanka
94,MP Stoinis,M Theekshana,AJ Finch,,,6,0,6,132,40,14,2,-,16,0,,,,field,Australia,2,Perth Stadium,2022-10-25,Australia,Sri Lanka
95,MP Stoinis,M Theekshana,AJ Finch,,,6,0,6,138,46,15,3,-,16,0,,,,field,Australia,2,Perth Stadium,2022-10-25,Australia,Sri Lanka
96,MP Stoinis,M Theekshana,AJ Finch,,,1,0,1,139,47,16,4,-,16,0,,,,field,Australia,2,Perth Stadium,2022-10-25,Australia,Sri Lanka
97,AJ Finch,M Theekshana,MP Stoinis,,,1,0,1,140,28,43,5,-,16,0,,,,field,Australia,2,Perth Stadium,2022-10-25,Australia,Sri Lanka
98,MP Stoinis,M Theekshana,AJ Finch,,,6,0,6,146,53,17,6,-,16,0,,,,field,Australia,2,Perth Stadium,2022-10-25,Australia,Sri Lanka
99,AJ Finch,CBRLS Kumara,MP Stoinis,,,1,0,1,147,29,44,1,-,17,0,,,,field,Australia,2,Perth Stadium,2022-10-25,Australia,Sri Lanka
100,MP Stoinis,CBRLS Kumara,AJ Finch,{'wides': 1},,0,1,1,148,53,18,2,wides,17,0,,,,field,Australia,2,Perth Stadium,2022-10-25,Australia,Sri Lanka
101,MP Stoinis,CBRLS Kumara,AJ Finch,,,6,0,6,154,59,19,3,-,17,0,,,,field,Australia,2,Perth Stadium,2022-10-25,Australia,Sri Lanka
102,MP Stoinis,CBRLS Kumara,AJ Finch,{'wides': 2},,0,2,2,156,59,20,4,wides,17,0,,,,field,Australia,2,Perth Stadium,2022-10-25,Australia,Sri Lanka
103,AJ Finch,CBRLS Kumara,MP Stoinis,,,2,0,2,158,31,45,5,-,17,0,,,,field,Australia,2,Perth Stadium,2022-10-25,Australia,Sri Lanka
