,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,extra_type,wicket_type,player_out,fielder,over,replacements,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
81,MR Marsh,FA Allen,MC Henriques,1,0,1,99,53,44,4,-,0,,,13,,field,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-10,Australia,West Indies
82,MC Henriques,FA Allen,MR Marsh,1,0,1,100,16,16,5,-,0,,,13,,field,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-10,Australia,West Indies
83,MR Marsh,FA Allen,MC Henriques,1,0,1,101,54,45,6,-,0,,,13,,field,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-10,Australia,West Indies
84,MR Marsh,HR Walsh,MC Henriques,0,0,0,101,54,46,1,-,0,,,14,,field,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-10,Australia,West Indies
85,MR Marsh,HR Walsh,MC Henriques,0,0,0,101,54,47,2,-,caught,MR Marsh,DJ Bravo,14,,field,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-10,Australia,West Indies
86,MC Henriques,HR Walsh,BR McDermott,0,0,0,101,16,17,3,-,0,,,14,,field,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-10,Australia,West Indies
87,MC Henriques,HR Walsh,BR McDermott,1,0,1,102,17,18,4,-,0,,,14,,field,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-10,Australia,West Indies
88,BR McDermott,HR Walsh,MC Henriques,4,0,4,106,4,1,5,-,0,,,14,,field,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-10,Australia,West Indies
89,BR McDermott,HR Walsh,MC Henriques,1,0,1,107,5,2,6,-,0,,,14,,field,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-10,Australia,West Indies
90,BR McDermott,AD Russell,MC Henriques,0,0,0,107,5,3,1,-,0,,,15,,field,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-10,Australia,West Indies
91,BR McDermott,AD Russell,MC Henriques,1,0,1,108,6,4,2,-,0,,,15,,field,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-10,Australia,West Indies
92,MC Henriques,AD Russell,BR McDermott,1,0,1,109,18,19,3,-,0,,,15,,field,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-10,Australia,West Indies
93,BR McDermott,AD Russell,MC Henriques,1,0,1,110,7,5,4,-,0,,,15,,field,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-10,Australia,West Indies
94,MC Henriques,AD Russell,BR McDermott,1,0,1,111,19,20,5,-,0,,,15,,field,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-10,Australia,West Indies
95,BR McDermott,AD Russell,MC Henriques,0,0,0,111,7,6,6,-,caught,BR McDermott,DJ Bravo,15,,field,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-10,Australia,West Indies
96,DT Christian,HR Walsh,MC Henriques,1,0,1,112,1,1,1,-,0,,,16,,field,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-10,Australia,West Indies
97,MC Henriques,HR Walsh,DT Christian,0,0,0,112,19,21,2,-,caught,MC Henriques,FA Allen,16,,field,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-10,Australia,West Indies
98,AC Agar,HR Walsh,DT Christian,1,0,1,113,1,1,3,-,0,,,16,,field,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-10,Australia,West Indies
99,DT Christian,HR Walsh,AC Agar,0,0,0,113,1,2,4,-,run out,AC Agar,LMP Simmons;N Pooran,16,,field,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-10,Australia,West Indies
100,MA Starc,HR Walsh,DT Christian,1,0,1,114,1,1,5,-,0,,,16,,field,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-10,Australia,West Indies
101,DT Christian,HR Walsh,MA Starc,1,0,1,115,2,3,6,-,0,,,16,,field,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-10,Australia,West Indies
102,DT Christian,AD Russell,MA Starc,0,0,0,115,2,4,1,-,0,,,17,,field,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-10,Australia,West Indies
103,DT Christian,AD Russell,MA Starc,0,1,1,116,2,5,2,wides,0,,,17,,field,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-10,Australia,West Indies
104,DT Christian,AD Russell,MA Starc,0,1,1,117,2,6,3,wides,0,,,17,,field,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-10,Australia,West Indies
105,DT Christian,AD Russell,MA Starc,0,0,0,117,2,7,4,-,0,,,17,,field,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-10,Australia,West Indies
106,DT Christian,AD Russell,MA Starc,4,0,4,121,6,8,5,-,0,,,17,,field,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-10,Australia,West Indies
107,DT Christian,AD Russell,MA Starc,0,0,0,121,6,9,6,-,0,,,17,,field,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-10,Australia,West Indies
108,DT Christian,AD Russell,MA Starc,2,0,2,123,8,10,7,-,0,,,17,,field,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-10,Australia,West Indies
109,DT Christian,AD Russell,MA Starc,1,0,1,124,9,11,8,-,0,,,17,,field,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-10,Australia,West Indies
110,DT Christian,DJ Bravo,MA Starc,0,0,0,124,9,12,1,-,bowled,DT Christian,,18,,field,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-10,Australia,West Indies
111,A Zampa,DJ Bravo,MA Starc,1,0,1,125,1,1,2,-,0,,,18,,field,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-10,Australia,West Indies
112,MA Starc,DJ Bravo,A Zampa,1,0,1,126,2,2,3,-,0,,,18,,field,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-10,Australia,West Indies
113,A Zampa,DJ Bravo,MA Starc,1,0,1,127,2,2,4,-,0,,,18,,field,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-10,Australia,West Indies
114,MA Starc,DJ Bravo,A Zampa,0,1,1,128,2,3,5,wides,0,,,18,,field,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-10,Australia,West Indies
115,MA Starc,DJ Bravo,A Zampa,2,0,2,130,4,4,6,-,0,,,18,,field,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-10,Australia,West Indies
116,MA Starc,DJ Bravo,A Zampa,1,0,1,131,5,5,7,-,0,,,18,,field,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-10,Australia,West Indies
117,MA Starc,SS Cottrell,A Zampa,0,0,0,131,5,6,1,-,0,,,19,,field,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-10,Australia,West Indies
118,MA Starc,SS Cottrell,A Zampa,1,0,1,132,6,7,2,-,0,,,19,,field,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-10,Australia,West Indies
119,A Zampa,SS Cottrell,MA Starc,1,0,1,133,3,3,3,-,0,,,19,,field,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-10,Australia,West Indies
120,MA Starc,SS Cottrell,A Zampa,1,0,1,134,7,8,4,-,0,,,19,,field,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-10,Australia,West Indies
121,A Zampa,SS Cottrell,MA Starc,0,0,0,134,3,4,5,-,caught,A Zampa,AJ Hosein,19,,field,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-10,Australia,West Indies
122,JR Hazlewood,SS Cottrell,MA Starc,0,1,1,135,0,1,6,wides,0,,,19,,field,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-10,Australia,West Indies
123,JR Hazlewood,SS Cottrell,MA Starc,4,0,4,139,4,2,7,-,0,,,19,,field,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-10,Australia,West Indies
124,MA Starc,CH Gayle,JR Hazlewood,1,0,1,140,8,9,1,-,0,,,20,,field,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-10,Australia,West Indies
125,JR Hazlewood,CH Gayle,MA Starc,0,0,0,140,4,3,2,-,bowled,JR Hazlewood,,20,,field,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-10,Australia,West Indies
