,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,extra_type,replacements,wicket_type,player_out,fielder,review,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
99,KL Rahul,NLTC Perera,MS Dhoni,2,0,2,202,65,43,7,16,-,,0,,,,field,Sri Lanka,1,Holkar Cricket Stadium,2017-12-22,India,Sri Lanka
100,MS Dhoni,A Dananjaya,KL Rahul,6,0,6,208,18,14,1,17,-,,0,,,,field,Sri Lanka,1,Holkar Cricket Stadium,2017-12-22,India,Sri Lanka
101,MS Dhoni,A Dananjaya,KL Rahul,0,0,0,208,18,15,2,17,-,,0,,,,field,Sri Lanka,1,Holkar Cricket Stadium,2017-12-22,India,Sri Lanka
102,MS Dhoni,A Dananjaya,KL Rahul,0,1,1,209,18,16,3,17,wides,,0,,,,field,Sri Lanka,1,Holkar Cricket Stadium,2017-12-22,India,Sri Lanka
103,MS Dhoni,A Dananjaya,KL Rahul,0,0,0,209,18,17,4,17,-,,0,,,,field,Sri Lanka,1,Holkar Cricket Stadium,2017-12-22,India,Sri Lanka
104,MS Dhoni,A Dananjaya,KL Rahul,0,1,1,210,18,18,5,17,wides,,0,,,,field,Sri Lanka,1,Holkar Cricket Stadium,2017-12-22,India,Sri Lanka
105,MS Dhoni,A Dananjaya,KL Rahul,6,0,6,216,24,19,6,17,-,,0,,,,field,Sri Lanka,1,Holkar Cricket Stadium,2017-12-22,India,Sri Lanka
106,MS Dhoni,A Dananjaya,KL Rahul,1,0,1,217,25,20,7,17,-,,0,,,,field,Sri Lanka,1,Holkar Cricket Stadium,2017-12-22,India,Sri Lanka
107,KL Rahul,A Dananjaya,MS Dhoni,6,0,6,223,71,44,8,17,-,,0,,,,field,Sri Lanka,1,Holkar Cricket Stadium,2017-12-22,India,Sri Lanka
108,MS Dhoni,PVD Chameera,KL Rahul,1,0,1,224,26,21,1,18,-,,0,,,,field,Sri Lanka,1,Holkar Cricket Stadium,2017-12-22,India,Sri Lanka
109,KL Rahul,PVD Chameera,MS Dhoni,0,0,0,224,71,45,2,18,-,,0,,,,field,Sri Lanka,1,Holkar Cricket Stadium,2017-12-22,India,Sri Lanka
110,KL Rahul,PVD Chameera,MS Dhoni,6,0,6,230,77,46,3,18,-,,0,,,,field,Sri Lanka,1,Holkar Cricket Stadium,2017-12-22,India,Sri Lanka
111,KL Rahul,PVD Chameera,MS Dhoni,0,0,0,230,77,47,4,18,-,,0,,,,field,Sri Lanka,1,Holkar Cricket Stadium,2017-12-22,India,Sri Lanka
112,KL Rahul,PVD Chameera,MS Dhoni,0,0,0,230,77,48,5,18,-,,0,,,,field,Sri Lanka,1,Holkar Cricket Stadium,2017-12-22,India,Sri Lanka
113,KL Rahul,PVD Chameera,MS Dhoni,6,0,6,236,83,49,6,18,-,,0,,,,field,Sri Lanka,1,Holkar Cricket Stadium,2017-12-22,India,Sri Lanka
114,MS Dhoni,N Pradeep,KL Rahul,1,0,1,237,27,22,1,19,-,,0,,,,field,Sri Lanka,1,Holkar Cricket Stadium,2017-12-22,India,Sri Lanka
115,KL Rahul,N Pradeep,MS Dhoni,6,0,6,243,89,50,2,19,-,,0,,,,field,Sri Lanka,1,Holkar Cricket Stadium,2017-12-22,India,Sri Lanka
116,KL Rahul,N Pradeep,MS Dhoni,0,0,0,243,89,51,3,19,-,,caught,KL Rahul,N Dickwella,,field,Sri Lanka,1,Holkar Cricket Stadium,2017-12-22,India,Sri Lanka
117,HH Pandya,N Pradeep,MS Dhoni,4,0,4,247,4,1,4,19,-,,0,,,,field,Sri Lanka,1,Holkar Cricket Stadium,2017-12-22,India,Sri Lanka
118,HH Pandya,N Pradeep,MS Dhoni,6,0,6,253,10,2,5,19,-,,0,,,,field,Sri Lanka,1,Holkar Cricket Stadium,2017-12-22,India,Sri Lanka
119,HH Pandya,N Pradeep,MS Dhoni,0,0,0,253,10,3,6,19,-,,caught,HH Pandya,S Samarawickrama,,field,Sri Lanka,1,Holkar Cricket Stadium,2017-12-22,India,Sri Lanka
120,MS Dhoni,NLTC Perera,SS Iyer,1,0,1,254,28,23,1,20,-,,0,,,,field,Sri Lanka,1,Holkar Cricket Stadium,2017-12-22,India,Sri Lanka
121,SS Iyer,NLTC Perera,MS Dhoni,0,0,0,254,0,1,2,20,-,,lbw,SS Iyer,,"{'by': 'India', 'umpire': 'AK Chaudhary', 'batter': 'SS Iyer', 'decision': 'struck down'}",field,Sri Lanka,1,Holkar Cricket Stadium,2017-12-22,India,Sri Lanka
122,MK Pandey,NLTC Perera,MS Dhoni,1,0,1,255,1,1,3,20,-,,0,,,,field,Sri Lanka,1,Holkar Cricket Stadium,2017-12-22,India,Sri Lanka
123,MS Dhoni,NLTC Perera,MK Pandey,0,0,0,255,28,24,4,20,-,,bowled,MS Dhoni,,,field,Sri Lanka,1,Holkar Cricket Stadium,2017-12-22,India,Sri Lanka
124,KD Karthik,NLTC Perera,MK Pandey,4,0,4,259,4,1,5,20,-,,0,,,,field,Sri Lanka,1,Holkar Cricket Stadium,2017-12-22,India,Sri Lanka
125,KD Karthik,NLTC Perera,MK Pandey,1,0,1,260,5,2,6,20,-,,0,,,,field,Sri Lanka,1,Holkar Cricket Stadium,2017-12-22,India,Sri Lanka
